ensembl,gene_name,uniprot
ENSG00000107736,CDH23,Q9H251
ENSG00000139880,CDH24,Q86UP0
ENSG00000170558,CDH2,P19022
ENSG00000179242,CDH4,P55283
ENSG00000179776,CDH5,P33151
ENSG00000113361,CDH6,P55285
ENSG00000175161,CADM2,Q8N3J6
ENSG00000131686,CA6,P23280
ENSG00000221823,PPP3R1,P63098
ENSG00000042493,CAPG,P40121
ENSG00000159753,CARMIL2,Q6F5E8
ENSG00000164326,CARTPT,Q16568
ENSG00000171209,CSN3,P07498
ENSG00000178074,C2orf69,Q8N8R5
ENSG00000125124,BBS2,Q9BXC9
ENSG00000140463,BBS4,Q96RK4
ENSG00000100739,BDKRB1,P46663
ENSG00000095585,BLNK,Q8WV28
ENSG00000125845,BMP2,P12643
ENSG00000125999,BPIFB1,Q8TDL5
ENSG00000186190,BPIFB3,P59826
ENSG00000102239,BRS3,P32247
ENSG00000173369,C1QB,P02746
ENSG00000159189,C1QC,P02747
ENSG00000186897,C1QL4,Q86Z23
ENSG00000133466,C1QTNF6,Q9BXI9
ENSG00000157617,C2CD2,Q9Y426
ENSG00000111731,C2CD5,Q86YS7
ENSG00000158985,CDC42SE2,Q9NRR3
ENSG00000154736,ADAMTS5,Q9UNA0
ENSG00000049192,ADAMTS6,Q9UKP5
ENSG00000136378,ADAMTS7,Q9UKP4
ENSG00000134917,ADAMTS8,Q9UP79
ENSG00000004939,SLC4A1,P02730
ENSG00000109956,B3GAT1,Q9P2W7
ENSG00000176788,BASP1,P80723
ENSG00000128298,BAIAP2L2,Q6UXY1
ENSG00000163170,BOLA3,Q53S33
ENSG00000131050,BPIFA2,Q96DR5
ENSG00000078898,BPIFB2,Q8N4F0
ENSG00000167104,BPIFB6,Q8NFQ5
ENSG00000005001,PRSS22,Q9GZN4
ENSG00000282937,PRSS22,Q9GZN4
ENSG00000124508,BTN2A2,Q8WVV5
ENSG00000026950,BTN3A1,O00481
ENSG00000174808,BTC,P35070
ENSG00000169814,BTD,P43251
ENSG00000010671,BTK,Q06187
ENSG00000113303,BTNL8,Q6UX41
ENSG00000197405,C5AR1,P21730
ENSG00000067191,CACNB1,Q02641
ENSG00000140937,CDH11,P55287
ENSG00000166589,CDH16,O75309
ENSG00000079112,CDH17,Q12864
ENSG00000145526,CDH18,Q13634
ENSG00000101542,CDH20,Q9HBT6
ENSG00000150394,CDH8,P55286
ENSG00000113100,CDH9,Q9ULB4
ENSG00000182985,CADM1,Q9BY67
ENSG00000162706,CADM3,Q8N126
ENSG00000063180,CA11,O75493
ENSG00000164076,CAMKV,Q8NCB2
ENSG00000162909,CAPN2,P17655
ENSG00000163217,BMP10,O95393
ENSG00000130385,BMP15,O95972
ENSG00000152785,BMP3,P12645
ENSG00000101144,BMP7,P18075
ENSG00000116985,BMP8B,P34820
ENSG00000204217,BMPR2,Q13873
ENSG00000138696,BMPR1B,O00238
ENSG00000178096,BOLA1,Q9Y3E2
ENSG00000198183,BPIFA1,Q9NP55
ENSG00000157764,BRAF,P15056
ENSG00000198797,BRINP2,Q9C0B6
ENSG00000188334,BSPH1,Q075Z2
ENSG00000186470,BTN3A2,P78410
ENSG00000168903,BTNL3,Q6UXE8
ENSG00000040731,CDH10,Q9Y6N8
ENSG00000124215,CDH26,Q8IXH8
ENSG00000039068,CDH1,P12830
ENSG00000062038,CDH3,P22223
ENSG00000081138,CDH7,Q9ULB5
ENSG00000110680,CALCA,P06881
ENSG00000110680,CALCA,P01258
ENSG00000179218,CALR,P27797
ENSG00000112186,CAP2,P40123
ENSG00000186648,CARMIL3,Q8ND23
ENSG00000136573,BLK,P51451
ENSG00000131059,BPIFA3,Q9BQP9
ENSG00000204347,BTBD17,A6NE02
ENSG00000186265,BTLA,Q7Z6A9
ENSG00000204290,BTNL2,Q9UIR0
ENSG00000224242,BTNL2,Q9UIR0
ENSG00000225412,BTNL2,Q9UIR0
ENSG00000229741,BTNL2,Q9UIR0
ENSG00000226127,BTNL2,Q9UIR0
ENSG00000225845,BTNL2,Q9UIR0
ENSG00000224770,BTNL2,Q9UIR0
ENSG00000229597,BTNL2,Q9UIR0
ENSG00000165810,BTNL9,Q6UXG8
ENSG00000253313,C1orf210,Q8IVY1
ENSG00000078808,SDF4,Q9BRK5
ENSG00000157782,CABP1,Q9NZU7
ENSG00000100314,CABP7,Q86V35
ENSG00000183166,CALN1,Q9BXU9
ENSG00000165995,CACNB2,Q08289
ENSG00000105767,CADM4,Q8NFZ8
ENSG00000167434,CA4,P22748
ENSG00000186716,BCR,P11274
ENSG00000176697,BDNF,P23560
ENSG00000167995,BEST1,O76090
ENSG00000144857,BOC,Q9BWV1
ENSG00000186191,BPIFB4,P59827
ENSG00000109743,BST1,Q10588
ENSG00000130303,BST2,Q10589
ENSG00000117281,CD160,O95971
ENSG00000118292,C1orf54,Q8WWF1
ENSG00000105974,CAV1,Q03135
ENSG00000099625,CBARP,Q8N350
ENSG00000139899,CBLN3,Q6UW01
ENSG00000054803,CBLN4,Q9NTU7
