ensembl,gene_name,mouse_uniprot,mouse_ensembl,name
ENSG00000007038,PRSS21,Q9JHJ7,ENSMUSG00000024116,Q9Y6M0
ENSG00000282891,STATH,,,P02808
ENSG00000126549,STATH,,,P02808
ENSG00000282967,HTN3,,,P15516
ENSG00000205649,HTN3,,,P15516
ENSG00000283056,ZG16B,,,Q96DA0
ENSG00000162078,ZG16B,,ENSMUSG00000024125,Q96DA0
ENSG00000162078,ZG16B,P15501,ENSMUSG00000024128,Q96DA0
ENSG00000283046,HTN1,,,P15515
ENSG00000126550,HTN1,,,P15515
ENSG00000282937,PRSS22,,,Q9GZN4
ENSG00000005001,PRSS22,,ENSMUSG00000045027,Q9GZN4
ENSG00000282868,PRR27,,,Q6MZM9
ENSG00000187533,PRR27,,ENSMUSG00000002240,Q6MZM9
ENSG00000282932,PTPRD,,,P23468
ENSG00000153707,PTPRD,Q64487,ENSMUSG00000028399,P23468
ENSG00000283448,GPR1,,,P46091
ENSG00000183671,GPR1,Q8K087,ENSMUSG00000046856,P46091
ENSG00000243215,HLA-DMA,,,P28067
ENSG00000204257,HLA-DMA,,,P28067
ENSG00000242361,HLA-DMA,,,P28067
ENSG00000243719,HLA-DMA,,,P28067
ENSG00000239463,HLA-DMA,,,P28067
ENSG00000243189,HLA-DMA,,,P28067
ENSG00000242685,HLA-DMA,,,P28067
ENSG00000274232,KIR2DL4,,,Q99706
ENSG00000189013,KIR2DL4,,,Q99706
ENSG00000275456,KIR2DL4,,,Q99706
ENSG00000277964,KIR2DL4,,,Q99706
ENSG00000273575,KIR2DL4,,,Q99706
ENSG00000277750,KIR2DL4,,,Q99706
ENSG00000275699,KIR2DL4,,,Q99706
ENSG00000278074,KIR2DL4,,,Q99706
ENSG00000276044,KIR2DL4,,,Q99706
ENSG00000274955,KIR2DL4,,,Q99706
ENSG00000275317,KIR2DL4,,,Q99706
ENSG00000278271,KIR2DL4,,,Q99706
ENSG00000278430,KIR2DL4,,,Q99706
ENSG00000277362,KIR2DL4,,,Q99706
ENSG00000276779,KIR2DL4,,,Q99706
ENSG00000274609,KIR2DL4,,,Q99706
ENSG00000134294,SLC38A2,Q8CFE6,ENSMUSG00000022462,Q96QD8
ENSG00000204963,PCDHA7,Q91Y20,ENSMUSG00000007440,Q9UN72
ENSG00000204963,PCDHA7,,ENSMUSG00000103800,Q9UN72
ENSG00000204963,PCDHA7,Q91Y13,ENSMUSG00000104318,Q9UN72
ENSG00000204962,PCDHA8,,ENSMUSG00000103707,Q9Y5H6
ENSG00000001036,FUCA2,Q99KR8,ENSMUSG00000019810,Q9BTY2
ENSG00000133466,C1QTNF6,Q6IR41,ENSMUSG00000022440,Q9BXI9
ENSG00000229314,ORM1,,ENSMUSG00000028359,P02763
ENSG00000229314,ORM1,Q60590,ENSMUSG00000039196,P02763
ENSG00000229314,ORM1,P07361,ENSMUSG00000061540,P02763
ENSG00000203733,GJE1,Q9CX92,ENSMUSG00000019867,A6NN92
ENSG00000165197,VEGFD,P97946,ENSMUSG00000031380,O43915
ENSG00000148965,SAA4,P31532,ENSMUSG00000040017,P35542
ENSG00000186908,ZDHHC17,Q80TN5,ENSMUSG00000035798,Q8IUH5
ENSG00000005961,ITGA2B,Q9QUM0,ENSMUSG00000034664,P08514
ENSG00000132911,NMUR2,Q8BZ39,ENSMUSG00000037393,Q9GZQ4
ENSG00000180210,F2,P19221,ENSMUSG00000027249,P00734
ENSG00000183798,EMILIN3,P59900,ENSMUSG00000050700,Q9NT22
ENSG00000123500,COL10A1,Q05306,ENSMUSG00000039462,Q03692
ENSG00000180340,FZD2,Q9JIP6,ENSMUSG00000050288,Q14332
ENSG00000132671,SSTR4,,ENSMUSG00000037014,P31391
ENSG00000113262,GRM6,Q5NCH9,ENSMUSG00000000617,O15303
ENSG00000276145,TARM1,,,B6A8C7
ENSG00000274889,TARM1,,,B6A8C7
ENSG00000277178,TARM1,,,B6A8C7
ENSG00000275806,TARM1,,,B6A8C7
ENSG00000276604,TARM1,,,B6A8C7
ENSG00000248385,TARM1,,,B6A8C7
ENSG00000275384,TARM1,,,B6A8C7
ENSG00000275123,TARM1,,,B6A8C7
ENSG00000273875,TARM1,,,B6A8C7
ENSG00000276355,TARM1,,,B6A8C7
ENSG00000168079,SCARA5,Q8K299,ENSMUSG00000022032,Q6ZMJ2
ENSG00000189320,FAM180A,Q8BR21,ENSMUSG00000047420,Q6UWF9
ENSG00000104827,CGB3,,,P0DN86
ENSG00000213030,CGB8,,,P0DN86
ENSG00000189052,CGB5,,ENSMUSG00000100916,P0DN86
ENSG00000274131,CEACAM4,,,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000003505,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000004540,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000004542,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000007209,O75871
ENSG00000105352,CEACAM4,Q3UKK2,ENSMUSG00000008789,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000023159,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000023185,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000030366,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000030368,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000030373,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000044903,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000053228,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000054169,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000057195,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000063305,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000066760,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000070796,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000070797,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000070798,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000070799,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000074359,O75871
ENSG00000105352,CEACAM4,,ENSMUSG00000078795,O75871
ENSG00000158714,SLAMF8,,ENSMUSG00000053318,Q9P0V8
ENSG00000130513,GDF15,Q9Z0J7,ENSMUSG00000038508,Q99988
ENSG00000173706,HEG1,E9Q7X6,ENSMUSG00000075254,Q9ULI3
ENSG00000173706,HEG1,E9Q7X6,ENSMUSG00000075254,Q9ULI3
ENSG00000232962,HLA-DOA,,,P06340
ENSG00000232957,HLA-DOA,,,P06340
ENSG00000235744,HLA-DOA,,,P06340
ENSG00000230141,HLA-DOA,,,P06340
ENSG00000204252,HLA-DOA,,,P06340
ENSG00000231558,HLA-DOA,,,P06340
ENSG00000206292,HLA-DOA,,,P06340
ENSG00000243364,EFNA4,O08542,ENSMUSG00000028040,P52798
ENSG00000243364,EFNA4,O08542,ENSMUSG00000028040,P52798
ENSG00000132581,SDF2,,ENSMUSG00000002064,Q99470
ENSG00000276065,GP6,,,Q9HCN6
ENSG00000088053,GP6,,,Q9HCN6
ENSG00000276211,GP6,,,Q9HCN6
ENSG00000275633,GP6,,,Q9HCN6
ENSG00000278670,GP6,,,Q9HCN6
ENSG00000274050,GP6,,,Q9HCN6
ENSG00000274566,GP6,,,Q9HCN6
ENSG00000278316,GP6,,,Q9HCN6
ENSG00000275931,GP6,,,Q9HCN6
ENSG00000277439,GP6,,,Q9HCN6
ENSG00000143954,REG3G,O09049,ENSMUSG00000030017,Q6UW15
ENSG00000143954,REG3G,P35230,ENSMUSG00000071356,Q6UW15
ENSG00000143954,REG3G,O09037,ENSMUSG00000079516,Q6UW15
ENSG00000215545,DEFB116,Q8BGW9,ENSMUSG00000044249,Q30KQ4
ENSG00000184160,ADRA2C,Q01337,ENSMUSG00000045318,P18825
ENSG00000274703,OSCAR,,,Q8IYS5
ENSG00000170909,OSCAR,,,Q8IYS5
ENSG00000277088,OSCAR,,,Q8IYS5
ENSG00000278378,OSCAR,,,Q8IYS5
ENSG00000275644,OSCAR,,,Q8IYS5
ENSG00000275551,OSCAR,,,Q8IYS5
ENSG00000276982,OSCAR,,,Q8IYS5
ENSG00000273511,OSCAR,,,Q8IYS5
ENSG00000278533,OSCAR,,,Q8IYS5
ENSG00000275736,OSCAR,,,Q8IYS5
ENSG00000275736,OSCAR,,,Q8IYS5
ENSG00000169116,PARM1,Q923D3,ENSMUSG00000034981,Q6UWI2
ENSG00000143951,WDPCP,Q8C456,ENSMUSG00000020319,O95876
ENSG00000169442,CD52,,,P31358
ENSG00000186891,TNFRSF18,O35714,ENSMUSG00000041954,Q9Y5U5
ENSG00000186891,TNFRSF18,O35714,ENSMUSG00000041954,Q9Y5U5
ENSG00000149256,TENM4,Q3UHK6,ENSMUSG00000048078,Q6N022
ENSG00000242038,EGFL8,,,Q99944
ENSG00000240592,EGFL8,,,Q99944
ENSG00000243897,EGFL8,,,Q99944
ENSG00000241404,EGFL8,,,Q99944
ENSG00000240389,EGFL8,,,Q99944
ENSG00000244444,EGFL8,,,Q99944
ENSG00000239974,EGFL8,,,Q99944
ENSG00000184459,BPIFC,,ENSMUSG00000050108,Q8NFQ6
ENSG00000273506,NCR1,,,O76036
ENSG00000273916,NCR1,,,O76036
ENSG00000278362,NCR1,,,O76036
ENSG00000275156,NCR1,,,O76036
ENSG00000189430,NCR1,,,O76036
ENSG00000277629,NCR1,,,O76036
ENSG00000277824,NCR1,,,O76036
ENSG00000273535,NCR1,,,O76036
ENSG00000274053,NCR1,,,O76036
ENSG00000275822,NCR1,,,O76036
ENSG00000147168,IL2RG,P34902,ENSMUSG00000031304,P31785
ENSG00000147168,IL2RG,,ENSMUSG00000092463,P31785
ENSG00000117971,CHRNB4,Q8R493,ENSMUSG00000035200,P30926
ENSG00000085265,FCN1,O70497,ENSMUSG00000026835,O00602
ENSG00000137745,MMP13,P33435,ENSMUSG00000050578,P45452
ENSG00000101187,SLCO4A1,Q8K078,ENSMUSG00000038963,Q96BD0
ENSG00000161798,AQP5,Q9WTY4,ENSMUSG00000044217,P55064
ENSG00000125551,PLGLB2,,,Q02325
ENSG00000183281,PLGLB1,,,Q02325
ENSG00000236884,HLA-DRB1,,,Q9TQE0
ENSG00000229074,HLA-DRB1,,,Q9TQE0
ENSG00000236884,HLA-DRB1,,,P13761
ENSG00000229074,HLA-DRB1,,,P13761
ENSG00000234906,APOC2,Q05020,ENSMUSG00000002992,P02655
ENSG00000234906,APOC2,Q05020,ENSMUSG00000109350,P02655
ENSG00000110195,FOLR1,P35846,ENSMUSG00000001827,P15328
ENSG00000110195,FOLR1,P35846,ENSMUSG00000001827,P15328
ENSG00000237808,NCR3,,,O14931
ENSG00000225211,NCR3,,,O14931
ENSG00000237103,NCR3,,,O14931
ENSG00000236979,NCR3,,,O14931
ENSG00000206430,NCR3,,,O14931
ENSG00000223833,NCR3,,,O14931
ENSG00000204475,NCR3,,,O14931
ENSG00000236315,NCR3,,,O14931
ENSG00000277006,DEFB104B,,,Q8WTQ1
ENSG00000176782,DEFB104A,,,Q8WTQ1
ENSG00000177023,DEFB104B,,,Q8WTQ1
ENSG00000240038,AMY2B,,ENSMUSG00000070360,P19961
ENSG00000240038,AMY2B,P00687,ENSMUSG00000074264,P19961
ENSG00000240038,AMY2B,P00688,ENSMUSG00000074268,P19961
ENSG00000240038,AMY2B,P00688,ENSMUSG00000093931,P19961
ENSG00000240038,AMY2B,P00688,ENSMUSG00000096569,P19961
ENSG00000240038,AMY2B,P00688,ENSMUSG00000096770,P19961
ENSG00000150782,IL18,P70380,ENSMUSG00000039217,Q14116
ENSG00000061676,NCKAP1,P28660,ENSMUSG00000027002,Q9Y2A7
ENSG00000070886,EPHA8,O09127,ENSMUSG00000028661,P29322
ENSG00000102683,SGCG,P82348,ENSMUSG00000035296,Q13326
ENSG00000150630,VEGFC,P97953,ENSMUSG00000031520,P49767
ENSG00000184408,KCND2,Q9Z0V2,ENSMUSG00000060882,Q9NZV8
ENSG00000136110,LECT1,Q9Z1F6,ENSMUSG00000022025,O75829
ENSG00000181036,FCRL6,,,Q6DN72
ENSG00000170962,PDGFD,Q925I7,ENSMUSG00000032006,Q9GZP0
ENSG00000257770,GPX5,,,O75715
ENSG00000224586,GPX5,P21765,ENSMUSG00000004344,O75715
ENSG00000101463,SYNDIG1,A2ANU3,ENSMUSG00000074736,Q9H7V2
ENSG00000182575,NXPH3,Q91VX5,ENSMUSG00000046719,O95157
ENSG00000132464,ENAM,O55196,ENSMUSG00000029286,Q9NRM1
ENSG00000104112,SCG3,P47867,ENSMUSG00000032181,Q8WXD2
ENSG00000137674,MMP20,P57748,ENSMUSG00000018620,O60882
ENSG00000278821,KIR2DL1,,,P43626
ENSG00000276625,KIR2DL1,,,P43626
ENSG00000125498,KIR2DL1,,,P43626
ENSG00000277833,KIR2DL1,,,P43626
ENSG00000278738,KIR2DL1,,,P43626
ENSG00000278495,KIR2DL1,,,P43626
ENSG00000273794,KIR2DL1,,,P43626
ENSG00000204291,COL15A1,O35206,ENSMUSG00000028339,P39059
ENSG00000173157,ADAMTS20,P59511,ENSMUSG00000022449,P59510
ENSG00000226260,HLA-DRA,,,P01903
ENSG00000204287,HLA-DRA,,,P01903
ENSG00000227993,HLA-DRA,,,P01903
ENSG00000230726,HLA-DRA,,,P01903
ENSG00000206308,HLA-DRA,,,P01903
ENSG00000228987,HLA-DRA,,,P01903
ENSG00000234794,HLA-DRA,,,P01903
ENSG00000159261,CLDN14,Q9Z0S3,ENSMUSG00000047109,O95500
ENSG00000215853,RPTN,P97347,ENSMUSG00000041984,Q6XPR3
ENSG00000188257,PLA2G2A,,ENSMUSG00000058908,P14555
ENSG00000283187,CASR,,,P41180
ENSG00000149564,ESAM,Q925F2,ENSMUSG00000001946,Q96AP7
ENSG00000104043,ATP8B4,,ENSMUSG00000060131,Q8TF62
ENSG00000276547,PCDHGB5,,ENSMUSG00000104063,Q9Y5G0
ENSG00000125848,FLRT3,Q8BGT1,ENSMUSG00000051379,Q9NZU0
ENSG00000125848,FLRT3,Q8BGT1,ENSMUSG00000051379,Q9NZU0
ENSG00000111700,SLCO1B3,Q9JJL3,ENSMUSG00000030236,Q9NPD5
ENSG00000136114,THSD1,,ENSMUSG00000031480,Q9NS62
ENSG00000277131,MMEL1,,,Q495T6
ENSG00000142606,MMEL1,,ENSMUSG00000058183,Q495T6
ENSG00000137251,TINAG,,ENSMUSG00000032357,Q9UJW2
ENSG00000219438,FAM19A5,Q91WE9,ENSMUSG00000054863,Q7Z5A7
ENSG00000187800,PEAR1,Q8VIK5,ENSMUSG00000028073,Q5VY43
ENSG00000185758,CLDN24,Q9D7U6,ENSMUSG00000038064,A6NM45
ENSG00000185758,CLDN24,,ENSMUSG00000061974,A6NM45
ENSG00000273686,B2M,,,P61769
ENSG00000166710,B2M,P01887,ENSMUSG00000060802,P61769
ENSG00000166710,B2M,P01887,ENSMUSG00000060802,P61769
ENSG00000117228,GBP1,,,P32455
ENSG00000159110,IFNAR2,O35664,ENSMUSG00000022971,P48551
ENSG00000159110,IFNAR2,O35664,ENSMUSG00000022971,P48551
ENSG00000152558,TMEM123,Q91Z22,ENSMUSG00000050912,Q8N131
ENSG00000127837,AAMP,,ENSMUSG00000006299,Q13685
ENSG00000172382,PRSS27,Q8BJR6,ENSMUSG00000050762,Q9BQR3
ENSG00000243646,IL10RB,,ENSMUSG00000022969,Q08334
ENSG00000243646,IL10RB,,ENSMUSG00000093701,Q08334
ENSG00000038945,MSR1,P30204,ENSMUSG00000025044,P21757
ENSG00000188747,NOXA1,Q8CJ00,ENSMUSG00000036805,Q86UR1
ENSG00000131019,ULBP3,,,Q9BZM4
ENSG00000181885,CLDN7,Q9Z261,ENSMUSG00000018569,O95471
ENSG00000128040,SPINK2,Q8BMY7,ENSMUSG00000053030,P20155
ENSG00000185231,MC2R,Q64326,ENSMUSG00000045569,Q01718
ENSG00000274953,VSTM1,,,Q6UX27
ENSG00000276363,VSTM1,,,Q6UX27
ENSG00000277607,VSTM1,,,Q6UX27
ENSG00000274887,VSTM1,,,Q6UX27
ENSG00000275962,VSTM1,,,Q6UX27
ENSG00000275330,VSTM1,,,Q6UX27
ENSG00000275577,VSTM1,,,Q6UX27
ENSG00000189068,VSTM1,,,Q6UX27
ENSG00000276159,VSTM1,,,Q6UX27
ENSG00000276066,VSTM1,,,Q6UX27
ENSG00000276066,VSTM1,,,Q6UX27
ENSG00000105383,CD33,,,P20138
ENSG00000042832,TG,O08710,ENSMUSG00000053469,P01266
ENSG00000164291,ARSK,,ENSMUSG00000021592,Q6UWY0
ENSG00000275718,CCL15,,,Q16663
ENSG00000275528,CCL15,,,Q16663
ENSG00000104537,ANXA13,,ENSMUSG00000055114,P27216
ENSG00000146374,RSPO3,Q2TJ95,ENSMUSG00000019880,Q9BXY4
ENSG00000058085,LAMC2,,ENSMUSG00000026479,Q13753
ENSG00000049130,KITLG,P20826,ENSMUSG00000019966,P21583
ENSG00000049130,KITLG,P20826,ENSMUSG00000019966,P21583
ENSG00000112164,GLP1R,O35659,ENSMUSG00000024027,P43220
ENSG00000186038,HTR3E,,,A5X5Y0
ENSG00000108854,SMURF2,A2A5Z6,ENSMUSG00000018363,Q9HAU4
ENSG00000173585,CCR9,Q9WUT7,ENSMUSG00000029530,P51686
ENSG00000100100,PIK3IP1,Q7TMJ8,ENSMUSG00000034614,Q96FE7
ENSG00000121797,CCRL2,O35457,ENSMUSG00000043953,O00421
ENSG00000183185,GABRR3,,ENSMUSG00000074991,A8MPY1
ENSG00000100678,SLC8A3,S4R2P9,ENSMUSG00000079055,P57103
ENSG00000169851,PCDH7,,ENSMUSG00000029108,O60245
ENSG00000166856,GPR182,,ENSMUSG00000058396,O15218
ENSG00000100884,CPNE6,Q9Z140,ENSMUSG00000022212,O95741
ENSG00000152207,CYSLTR2,Q920A1,ENSMUSG00000033470,Q9NS75
ENSG00000175267,VWA3A,Q3UVV9,ENSMUSG00000030889,A6NCI4
ENSG00000143512,HHIPL2,Q9D2G9,ENSMUSG00000053461,Q6UWX4
ENSG00000267467,APOC4,Q61268,ENSMUSG00000074336,P55056
ENSG00000152377,SPOCK1,,ENSMUSG00000056222,Q08629
ENSG00000185245,GP1BA,O35930,ENSMUSG00000050675,P07359
ENSG00000162739,SLAMF6,Q9ET39,ENSMUSG00000015314,Q96DU3
ENSG00000163681,SLMAP,Q3URD3,ENSMUSG00000021870,Q14BN4
ENSG00000182985,CADM1,Q8R5M8,ENSMUSG00000032076,Q9BY67
ENSG00000162852,CNST,Q8CBC4,ENSMUSG00000038949,Q6PJW8
ENSG00000276785,PRSS58,,,Q8IYP2
ENSG00000258223,PRSS58,Q8BW11,ENSMUSG00000051936,Q8IYP2
ENSG00000013288,MAN2B2,O54782,ENSMUSG00000029119,Q9Y2E5
ENSG00000111863,ADTRP,Q8C138,ENSMUSG00000058022,Q96IZ2
ENSG00000087303,NID2,O88322,ENSMUSG00000021806,Q14112
ENSG00000137491,SLCO2B1,Q8BXB6,ENSMUSG00000030737,O94956
ENSG00000114544,SLC41A3,Q921R8,ENSMUSG00000030089,Q96GZ6
ENSG00000179921,GPBAR1,Q80SS6,ENSMUSG00000064272,Q8TDU6
ENSG00000099721,AMELY,P63277,ENSMUSG00000031354,Q99218
ENSG00000135472,FAIM2,Q8K097,ENSMUSG00000023011,Q9BWQ8
ENSG00000124749,COL21A1,,,Q96P44
ENSG00000172270,BSG,P18572,ENSMUSG00000023175,P35613
ENSG00000112761,WISP3,D3Z5L9,ENSMUSG00000062074,O95389
ENSG00000181072,CHRM2,Q9ERZ4,ENSMUSG00000045613,P08172
ENSG00000206340,C4A,,,P0C0L4
ENSG00000244731,C4A,,,P0C0L4
ENSG00000227746,C4A,,,P0C0L4
ENSG00000167664,TMIGD2,,,Q96BF3
ENSG00000173511,VEGFB,P49766,ENSMUSG00000024962,P49765
ENSG00000206404,LY6G5C,,,Q5SRR4
ENSG00000226404,LY6G5C,,,Q5SRR4
ENSG00000204428,LY6G5C,,,Q5SRR4
ENSG00000111971,LY6G5C,,,Q5SRR4
ENSG00000231325,LY6G5C,,,Q5SRR4
ENSG00000228883,LY6G5C,,,Q5SRR4
ENSG00000237495,LY6G5C,,,Q5SRR4
ENSG00000278327,KIR2DL3,,,P43628
ENSG00000276590,KIR2DL3,,,P43628
ENSG00000274402,KIR2DL3,,,P43628
ENSG00000274108,KIR2DL3,,,P43628
ENSG00000277484,KIR2DL3,,,P43628
ENSG00000277554,KIR2DL3,,,P43628
ENSG00000274410,KIR2DL3,,,P43628
ENSG00000275658,KIR2DL3,,,P43628
ENSG00000243772,KIR2DL3,,,P43628
ENSG00000276459,KIR2DL3,,,P43628
ENSG00000277317,KIR2DL3,,,P43628
ENSG00000273887,KIR2DL3,,,P43628
ENSG00000277924,KIR2DL3,,,P43628
ENSG00000276218,KIR2DL3,,,P43628
ENSG00000275623,KIR2DL3,,,P43628
ENSG00000275008,KIR2DL3,,,P43628
ENSG00000274952,KIR2DL3,,,P43628
ENSG00000274830,KIR2DL3,,,P43628
ENSG00000203896,LIME1,Q9EQR5,ENSMUSG00000090077,Q9H400
ENSG00000162692,VCAM1,P29533,ENSMUSG00000027962,P19320
ENSG00000083457,ITGAE,Q60677,ENSMUSG00000005947,P38570
ENSG00000070985,TRPM5,Q9JJH7,ENSMUSG00000009246,Q9NZQ8
ENSG00000231389,HLA-DPA1,,,P20036
ENSG00000235844,HLA-DPA1,,,P20036
ENSG00000229685,HLA-DPA1,,,P20036
ENSG00000224103,HLA-DPA1,,,P20036
ENSG00000236177,HLA-DPA1,,,P20036
ENSG00000168384,HLA-DPA1,,,P20036
ENSG00000206291,HLA-DPA1,,,P20036
ENSG00000228163,HLA-DPA1,,,P20036
ENSG00000160951,PTGER1,P35375,ENSMUSG00000019464,P34995
ENSG00000228859,LY6G6C,,,O95867
ENSG00000204421,LY6G6C,,,O95867
ENSG00000206398,LY6G6C,,,O95867
ENSG00000235452,LY6G6C,,,O95867
ENSG00000236183,LY6G6C,,,O95867
ENSG00000228250,LY6G6C,,,O95867
ENSG00000235925,LY6G6C,,,O95867
ENSG00000196090,PTPRT,Q99M80,ENSMUSG00000053141,O14522
ENSG00000105329,TGFB1,P04202,ENSMUSG00000002603,P01137
ENSG00000145990,GFOD1,Q3UHD2,ENSMUSG00000051335,Q9NXC2
ENSG00000113578,FGF1,P61148,ENSMUSG00000036585,P05230
ENSG00000145826,LECT2,,ENSMUSG00000021539,O14960
ENSG00000163898,LIPH,Q8CIV3,ENSMUSG00000044626,Q8WWY8
ENSG00000125900,SIRPD,,,Q9H106
ENSG00000171067,C11orf24,Q9D8N1,ENSMUSG00000035372,Q96F05
ENSG00000145321,GC,P21614,ENSMUSG00000035540,P02774
ENSG00000164104,HMGB2,P30681,ENSMUSG00000054717,P26583
ENSG00000196878,LAMB3,Q61087,ENSMUSG00000026639,Q13751
ENSG00000230108,TNF,,,P01375
ENSG00000223952,TNF,,,P01375
ENSG00000232810,TNF,,,P01375
ENSG00000228849,TNF,,,P01375
ENSG00000228321,TNF,,,P01375
ENSG00000206439,TNF,,,P01375
ENSG00000204490,TNF,,,P01375
ENSG00000204490,TNF,,,P01375
ENSG00000214447,FAM187A,Q9D9P2,ENSMUSG00000020930,A6NFU0
ENSG00000167286,CD3D,P04235,ENSMUSG00000032094,P04234
ENSG00000256222,MTRNR2L3,,,P0CJ70
ENSG00000186889,TMEM17,Q8K0U3,ENSMUSG00000049904,Q86X19
ENSG00000178726,THBD,P15306,ENSMUSG00000074743,P07204
ENSG00000180155,LYNX1,Q9WVC2,ENSMUSG00000075605,Q9BZG9
ENSG00000180155,LYNX1,Q9WVC2,ENSMUSG00000075605,Q9BZG9
ENSG00000186998,EMID1,Q91VF5,ENSMUSG00000034164,Q96A84
ENSG00000275735,KIR2DS2,,,P43631
ENSG00000274518,KIR2DS2,,,P43631
ENSG00000275452,KIR2DS2,,,P43631
ENSG00000275583,KIR2DS2,,,P43631
ENSG00000277885,KIR2DS2,,,P43631
ENSG00000274438,KIR2DS2,,,P43631
ENSG00000276258,KIR2DS2,,,P43631
ENSG00000275253,KIR2DS2,,,P43631
ENSG00000278300,KIR2DS2,,,P43631
ENSG00000276139,KIR2DS2,,,P43631
ENSG00000276425,KIR2DS2,,,P43631
ENSG00000278152,KIR2DS2,,,P43631
ENSG00000275737,KIR2DS2,,,P43631
ENSG00000102218,RP2,Q9EPK2,ENSMUSG00000060090,O75695
ENSG00000164733,CTSB,P10605,ENSMUSG00000021939,P07858
ENSG00000187244,BCAM,Q9R069,ENSMUSG00000002980,P50895
ENSG00000224393,C6orf25,,,O95866
ENSG00000228090,C6orf25,,,O95866
ENSG00000206396,C6orf25,,,O95866
ENSG00000237459,C6orf25,,,O95866
ENSG00000231003,C6orf25,,,O95866
ENSG00000204420,C6orf25,,,O95866
ENSG00000230060,C6orf25,,,O95866
ENSG00000069696,DRD4,P51436,ENSMUSG00000025496,P21917
ENSG00000134200,TSHB,,ENSMUSG00000027857,P01222
