human_uniprot,human_ENSEMBL,human_gene_name,mouse_uniprot,mouse_ENSEMBL,mouse_gene_name,transmembrane,secretion,peripheral
O60266,ENSG00000138031,ADCY3,Q8VHH7,ENSMUSG00000020654,Adcy3,1,0,0
Q8NFM4,ENSG00000129467,ADCY4,Q91WF3,ENSMUSG00000022220,Adcy4,1,0,0
O95622,ENSG00000173175,ADCY5,P84309,ENSMUSG00000022840,Adcy5,1,0,0
O43306,ENSG00000174233,ADCY6,NA,ENSMUSG00000022994,NA,1,0,0
O60503,ENSG00000162104,ADCY9,P51830,ENSMUSG00000005580,Adcy9,1,0,0
P41586,ENSG00000078549,ADCYAP1R1,P70205,ENSMUSG00000029778,Adcyap1r1,1,0,0
O60241,ENSG00000121753,ADGRB2,Q8CGM1,ENSMUSG00000028782,Adgrb2,1,0,0
O60242,ENSG00000135298,ADGRB3,Q80ZF8,ENSMUSG00000033569,Adgrb3,1,0,0
Q6QNK2,ENSG00000111452,ADGRD1,Q80T32,ENSMUSG00000044017,Adgrd1,1,0,0
Q14246,ENSG00000174837,ADGRE1,Q61549,ENSMUSG00000004730,Adgre1,1,0,0
Q9UHX3,ENSG00000127507,ADGRE2,NA,NA,NA,1,0,0
Q9BY15,ENSG00000131355,ADGRE3,NA,NA,NA,1,0,0
Q5T601,ENSG00000153292,ADGRF1,Q8VEC3,ENSMUSG00000041293,Adgrf1,1,0,0
Q8IZF2,ENSG00000069122,ADGRF5,G5E8Q8,ENSMUSG00000056492,Adgrf5,1,0,0
Q8IZP9,ENSG00000173698,ADGRG2,Q8CJ12,ENSMUSG00000031298,Adgrg2,1,0,0
Q86Y34,ENSG00000182885,ADGRG3,Q8R0T6,ENSMUSG00000060470,Adgrg3,1,0,0
Q8IZF4,ENSG00000159618,ADGRG5,Q3V3Z3,ENSMUSG00000061577,Adgrg5,1,0,0
O94910,ENSG00000072071,ADGRL1,Q80TR1,ENSMUSG00000013033,Adgrl1,1,0,0
Q9HBW9,ENSG00000162618,ADGRL4,Q923X1,ENSMUSG00000039167,Adgrl4,1,0,0
Q96A54,ENSG00000159346,ADIPOR1,Q91VH1,ENSMUSG00000026457,Adipor1,1,0,0
Q86V24,ENSG00000006831,ADIPOR2,Q8BQS5,ENSMUSG00000030168,Adipor2,1,0,0
P30542,ENSG00000163485,ADORA1,Q60612,ENSMUSG00000042429,Adora1,1,0,0
P29274,ENSG00000128271,ADORA2A,Q60613,ENSMUSG00000020178,Adora2a,1,0,0
P29275,ENSG00000170425,ADORA2B,Q60614,ENSMUSG00000018500,Adora2b,1,0,0
P0DMS8,ENSG00000282608,ADORA3,NA,ENSMUSG00000000562,NA,1,0,0
P35348,ENSG00000120907,ADRA1A,P97718,ENSMUSG00000045875,Adra1a,1,0,0
P35368,ENSG00000170214,ADRA1B,NA,ENSMUSG00000050541,NA,1,0,0
P25100,ENSG00000171873,ADRA1D,NA,ENSMUSG00000027335,NA,1,0,0
P08913,ENSG00000150594,ADRA2A,NA,ENSMUSG00000033717,NA,1,0,0
P18825,ENSG00000184160,ADRA2C,Q01337,ENSMUSG00000045318,Adra2c,1,0,0
P08588,ENSG00000043591,ADRB1,P34971,ENSMUSG00000035283,Adrb1,1,0,0
P07550,ENSG00000169252,ADRB2,P18762,ENSMUSG00000045730,Adrb2,1,0,0
P13945,ENSG00000188778,ADRB3,P25962,ENSMUSG00000031489,Adrb3,1,0,0
Q96IZ2,ENSG00000111863,ADTRP,Q8C138,ENSMUSG00000058022,Adtrp,1,0,0
O00468,ENSG00000188157,AGRN,A2ASQ1,ENSMUSG00000041936,Agrn,1,0,0
P30556,ENSG00000144891,AGTR1,P29754,ENSMUSG00000049115,Agtr1a,1,0,0
P30556,ENSG00000144891,AGTR1,P29755,ENSMUSG00000054988,Agtr1b,1,0,0
P50052,ENSG00000180772,AGTR2,P35374,ENSMUSG00000068122,Agtr2,1,0,0
O43865,ENSG00000168710,AHCYL1 DCAL IRBIT XPVKONA,Q80SW1,ENSMUSG00000027893,Ahcyl1,1,0,0
Q9UKB5,ENSG00000196581,AJAP1,A2ALI5,ENSMUSG00000039546,Ajap1,1,0,0
Q96IF1,ENSG00000129474,AJUBA JUB,Q91XC0,ENSMUSG00000022178,Ajuba,1,0,0
O43687,ENSG00000118507,AKAP7 AKAP15 AKAP18,O55074,ENSMUSG00000039166,Akap7,1,0,0
O43687,ENSG00000118507,AKAP7 AKAP15 AKAP18,Q7TN79,ENSMUSG00000039166,Akap7,1,0,0
Q13740,ENSG00000170017,ALCAM,Q61490,ENSMUSG00000022636,Alcam,1,0,0
P43353,ENSG00000006534,ALDH3B1 ALDH7,Q80VQ0,ENSMUSG00000024885,Aldh3b1,1,0,0
Q5I7T1,ENSG00000175548,ALG10B,Q3UGP8,ENSMUSG00000075470,Alg10b,1,0,0
Q9UM73,ENSG00000171094,ALK,P97793,ENSMUSG00000055471,Alk,1,0,0
P09923,ENSG00000163295,ALPI,P24823,ENSMUSG00000026246,Alppl2,1,0,0
P09923,ENSG00000163295,ALPI,NA,ENSMUSG00000036500,NA,1,0,0
P09923,ENSG00000163295,ALPI,NA,ENSMUSG00000079440,NA,1,0,0
P05186,ENSG00000162551,ALPL,P09242,ENSMUSG00000028766,Alpl,1,0,0
P05187,ENSG00000163283,ALPP,P24823,ENSMUSG00000026246,Alppl2,1,0,0
P05187,ENSG00000163283,ALPP,NA,ENSMUSG00000036500,NA,1,0,0
P05187,ENSG00000163283,ALPP,NA,ENSMUSG00000079440,NA,1,0,0
P10696,ENSG00000163286,ALPPL2,P24823,ENSMUSG00000026246,Alppl2,1,0,0
P10696,ENSG00000163286,ALPPL2,NA,ENSMUSG00000036500,NA,1,0,0
P10696,ENSG00000163286,ALPPL2,NA,ENSMUSG00000079440,NA,1,0,0
Q86YT9,ENSG00000160593,AMICA1,Q80UL9,ENSMUSG00000048534,Jaml,1,0,0
Q86WK6,ENSG00000181754,AMIGO1,Q80ZD8,ENSMUSG00000050947,Amigo1,1,0,0
Q86SJ2,ENSG00000139211,AMIGO2,Q80ZD9,ENSMUSG00000048218,Amigo2,1,0,0
Q5XXA6,ENSG00000131620,ANO1,Q8BHY3,ENSMUSG00000031075,Ano1,1,0,0
Q9NW15,ENSG00000160746,ANO10,Q8BH79,ENSMUSG00000037949,Ano10,1,0,0
Q9NQ90,ENSG00000047617,ANO2,Q8CFW1,ENSMUSG00000038115,Ano2,1,0,0
Q9BYT9,ENSG00000134343,ANO3,A2AHL1,ENSMUSG00000074968,Ano3,1,0,0
Q32M45,ENSG00000262139,ANO4,NA,NA,NA,1,0,0
Q75V66,ENSG00000171714,ANO5,Q75UR0,ENSMUSG00000055489,Ano5,1,0,0
Q4KMQ2,ENSG00000177119,ANO6,Q6P9J9,ENSMUSG00000064210,Ano6,1,0,0
Q6IWH7,ENSG00000146205,ANO7,Q14AT5,ENSMUSG00000034107,Ano7,1,0,0
Q9HCE9,ENSG00000074855,ANO8,Q6PB70,ENSMUSG00000034863,Ano8,1,0,0
A1A5B4,ENSG00000185101,ANO9,P86044,ENSMUSG00000054662,Ano9,1,0,0
P15144,ENSG00000166825,ANPEP,P97449,ENSMUSG00000039062,Anpep,1,0,0
Q9H6X2,ENSG00000169604,ANTXR1,Q9CZ52,ENSMUSG00000033420,Antxr1,1,0,0
P58335,ENSG00000163297,ANTXR2,Q6DFX2,ENSMUSG00000029338,Antxr2,1,0,0
P27216,ENSG00000104537,ANXA13 ANX13,NA,ENSMUSG00000055114,NA,1,0,0
Q16853,ENSG00000131471,AOC3,O70423,ENSMUSG00000019326,Aoc3,1,0,0
O00213,ENSG00000166313,APBB1 FE65 RIR,Q9QXJ1,ENSMUSG00000037032,Apbb1,1,0,0
P25054,ENSG00000134982,APC DP2.5,NA,ENSMUSG00000005871,NA,1,0,0
Q8J025,ENSG00000154856,APCDD1,Q3U128,ENSMUSG00000071847,Apcdd1,1,0,0
P35414,ENSG00000134817,APLNR,Q9WV08,ENSMUSG00000044338,Aplnr,1,0,0
P51693,ENSG00000105290,APLP1,NA,ENSMUSG00000006651,NA,1,0,0
Q06481,ENSG00000084234,APLP2,Q06335,ENSMUSG00000031996,Aplp2,1,0,0
Q0VD83,ENSG00000184730,APOBR APOB48R,Q8VBT6,ENSMUSG00000042759,Apobr,1,0,0
Q96LR9,ENSG00000178878,APOLD1,NA,ENSMUSG00000090698,NA,1,0,0
P29972,ENSG00000240583,AQP1,Q02013,ENSMUSG00000004655,Aqp1,1,0,0
P41181,ENSG00000167580,AQP2,P56402,ENSMUSG00000023013,Aqp2,1,0,0
Q92482,ENSG00000165272,AQP3,Q8R2N1,ENSMUSG00000028435,Aqp3,1,0,0
P55064,ENSG00000161798,AQP5,Q9WTY4,ENSMUSG00000044217,Aqp5,1,0,0
Q7LC44,ENSG00000198576,ARC KIAA0278,Q9WV31,ENSMUSG00000022602,Arc,1,0,0
P84077,ENSG00000143761,ARF1,P84078,ENSMUSG00000048076,Arf1,1,0,0
P62330,ENSG00000165527,ARF6,P62331,ENSMUSG00000044147,Arf6,1,0,0
Q3SXY8,ENSG00000169379,ARL13B ARL2L1,Q640N2,ENSMUSG00000022911,Arl13b,1,0,0
P40617,ENSG00000122644,ARL4A ARL4,P61213,ENSMUSG00000047446,Arl4a,1,0,0
P56559,ENSG00000188042,ARL4C ARL7,P61208,ENSMUSG00000049866,Arl4c,1,0,0
P49703,ENSG00000175906,ARL4D ARF4L,Q99PE9,ENSMUSG00000034936,Arl4d,1,0,0
O75915,ENSG00000144746,ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127,Q8R5J9,ENSMUSG00000035199,Arl6ip5,1,0,0
P49407,ENSG00000137486,ARRB1 ARR1,Q8BWG8,ENSMUSG00000018909,Arrb1,1,0,0
P32121,ENSG00000141480,ARRB2 ARB2 ARR2,Q91YI4,ENSMUSG00000060216,Arrb2,1,0,0
Q13508,ENSG00000156219,ART3,Q8R2G4,ENSMUSG00000034842,Art3,1,0,0
Q93070,ENSG00000111339,ART4,Q9CRA0,ENSMUSG00000030217,Art4,1,0,0
Q9NR71,ENSG00000188611,ASAH2 HNAC1,Q9JHE3,ENSMUSG00000024887,Asah2,1,0,0
P78348,ENSG00000110881,ASIC1,Q6NXK8,ENSMUSG00000023017,Asic1,1,0,0
Q16515,ENSG00000108684,ASIC2 ACCN ACCN1 BNAC1 MDEG,Q925H0,ENSMUSG00000020704,Asic2,1,0,0
Q9UHC3,ENSG00000213199,ASIC3 ACCN3 SLNAC1 TNAC1,Q6X1Y6,ENSMUSG00000038276,Asic3,1,0,0
Q9NY37,ENSG00000256394,ASIC5,Q9R0Y1,ENSMUSG00000028008,Asic5,1,0,0
Q6HA08,ENSG00000188886,ASTL,Q6HA09,ENSMUSG00000050468,Astl,1,0,0
O14525,ENSG00000152092,ASTN1,Q61137,ENSMUSG00000026587,Astn1,1,0,0
Q8NBU5,ENSG00000138138,ATAD1 FNP001,Q9D5T0,ENSMUSG00000013662,Atad1,1,0,0
O60312,ENSG00000206190,ATP10A,O54827,ENSMUSG00000025324,Atp10a,1,0,0
Q9P241,ENSG00000145246,ATP10D,NA,NA,NA,1,0,0
P98196,ENSG00000068650,ATP11A,P98197,ENSMUSG00000031441,Atp11a,1,0,0
Q8NB49,ENSG00000101974,ATP11C,Q9QZW0,ENSMUSG00000062949,Atp11c,1,0,0
P05023,ENSG00000163399,ATP1A1,Q8VDN2,ENSMUSG00000033161,Atp1a1,1,0,0
P50993,ENSG00000018625,ATP1A2,Q6PIE5,ENSMUSG00000007097,Atp1a2,1,0,0
P13637,ENSG00000105409,ATP1A3,Q6PIC6,ENSMUSG00000040907,Atp1a3,1,0,0
Q13733,ENSG00000132681,ATP1A4,Q9WV27,ENSMUSG00000007107,Atp1a4,1,0,0
P54709,ENSG00000069849,ATP1B3,P97370,ENSMUSG00000032412,Atp1b3,1,0,0
P20020,ENSG00000070961,ATP2B1,G5E829,ENSMUSG00000019943,Atp2b1,1,0,0
Q01814,ENSG00000157087,ATP2B2,Q9R0K7,ENSMUSG00000030302,Atp2b2,1,0,0
Q16720,ENSG00000067842,ATP2B3,NA,ENSMUSG00000031376,NA,1,0,0
P23634,ENSG00000058668,ATP2B4,Q6Q477,ENSMUSG00000026463,Atp2b4,1,0,0
P20648,ENSG00000105675,ATP4A,NA,ENSMUSG00000005553,NA,1,0,0
Q9Y487,ENSG00000185344,ATP6V0A2,P15920,ENSMUSG00000038023,Atp6v0a2,1,0,0
Q9HBG4,ENSG00000105929,ATP6V0A4,Q920R6,ENSMUSG00000038600,Atp6v0a4,1,0,0
Q04656,ENSG00000165240,ATP7A,Q64430,ENSMUSG00000033792,Atp7a,1,0,0
Q9Y2Q0,ENSG00000124406,ATP8A1,P70704,ENSMUSG00000037685,Atp8a1,1,0,0
Q9NTI2,ENSG00000132932,ATP8A2,P98200,ENSMUSG00000021983,Atp8a2,1,0,0
O43520,ENSG00000081923,ATP8B1,Q148W0,ENSMUSG00000039529,Atp8b1,1,0,0
P98198,ENSG00000143515,ATP8B2,P98199,ENSMUSG00000060671,Atp8b2,1,0,0
Q8TF62,ENSG00000104043,ATP8B4,NA,ENSMUSG00000060131,NA,1,0,0
Q6UW56,ENSG00000138085,ATRAID,Q6PGD0,ENSMUSG00000013622,Atraid,1,0,0
O75882,ENSG00000088812,ATRN,Q9WU60,ENSMUSG00000027312,Atrn,1,0,0
P37288,ENSG00000166148,AVPR1A,Q62463,ENSMUSG00000020123,Avpr1a,1,0,0
P47901,ENSG00000198049,AVPR1B,Q9WU02,ENSMUSG00000026432,Avpr1b,1,0,0
P30518,ENSG00000126895,AVPR2,O88721,ENSMUSG00000031390,Avpr2,1,0,0
O15169,ENSG00000103126,AXIN1 AXIN,NA,ENSMUSG00000024182,NA,1,0,0
P30530,ENSG00000167601,AXL,Q00993,ENSMUSG00000002602,Axl,1,0,0
P15291,ENSG00000086062,B4GALT1,P15535,ENSMUSG00000028413,B4galt1,1,0,0
O14514,ENSG00000181790,BAI1,Q3UHD1,ENSMUSG00000034730,Adgrb1,1,0,0
P80723,ENSG00000176788,BASP1 NAP22,Q91XV3,ENSMUSG00000045763,Basp1,1,0,0
Q8NFJ9,ENSG00000174483,BBS1 BBS2L2,NA,ENSMUSG00000006464,NA,1,0,0
Q9BXC9,ENSG00000125124,BBS2,Q9CWF6,ENSMUSG00000031755,Bbs2,1,0,0
Q96RK4,ENSG00000140463,BBS4,Q8C1Z7,ENSMUSG00000025235,Bbs4,1,0,0
Q8N3I7,ENSG00000163093,BBS5,Q9CZQ9,ENSMUSG00000063145,Bbs5,1,0,0
Q8IWZ6,ENSG00000138686,BBS7 BBS2L1,Q8K2G4,ENSMUSG00000037325,Bbs7,1,0,0
Q3SYG4,ENSG00000122507,BBS9 PTHB1,Q811G0,ENSMUSG00000035919,Bbs9,1,0,0
P11274,ENSG00000186716,BCR BCR1 D22S11,Q6PAJ1,ENSMUSG00000009681,Bcr,1,0,0
P46663,ENSG00000100739,BDKRB1,Q61125,ENSMUSG00000041347,Bdkrb1,1,0,0
P30411,ENSG00000168398,BDKRB2,P32299,ENSMUSG00000021070,Bdkrb2,1,0,0
O76090,ENSG00000167995,BEST1,O88870,ENSMUSG00000037418,Best1,1,0,0
Q8NFU1,ENSG00000039987,BEST2,NA,ENSMUSG00000052819,NA,1,0,0
Q8N1M1,ENSG00000127325,BEST3,Q6H1V1,ENSMUSG00000020169,Best3,1,0,0
Q8NFU0,ENSG00000142959,BEST4,NA,NA,NA,1,0,0
P51451,ENSG00000136573,BLK,P16277,ENSMUSG00000014453,Blk,1,0,0
Q8WV28,ENSG00000095585,BLNK BASH SLP65,Q9QUN3,ENSMUSG00000061132,Blnk,1,0,0
O00238,ENSG00000138696,BMPR1B,P36898,ENSMUSG00000052430,Bmpr1b,1,0,0
Q13873,ENSG00000204217,BMPR2,O35607,ENSMUSG00000067336,Bmpr2,1,0,0
Q9BWV1,ENSG00000144857,BOC,NA,ENSMUSG00000022687,NA,1,0,0
P15056,ENSG00000157764,BRAF BRAF1 RAFB1,P28028,ENSMUSG00000002413,Braf,1,0,0
P32247,ENSG00000102239,BRS3,O54798,ENSMUSG00000031130,Brs3,1,0,0
P35613,ENSG00000172270,BSG,P18572,ENSMUSG00000023175,Bsg,1,0,0
Q8WZ55,ENSG00000162399,BSND,Q8VIM4,ENSMUSG00000025418,Bsnd,1,0,0
Q10588,ENSG00000109743,BST1,NA,ENSMUSG00000029082,NA,1,0,0
Q10589,ENSG00000130303,BST2,Q8R2Q8,ENSMUSG00000046718,Bst2,1,0,0
P35070,ENSG00000174808,BTC,Q05928,ENSMUSG00000082361,Btc,1,0,0
O00481,ENSG00000026950,BTN3A1,NA,NA,NA,1,0,0
P78410,ENSG00000186470,BTN3A2,NA,NA,NA,1,0,0
O00478,ENSG00000111801,BTN3A3,NA,NA,NA,1,0,0
Q8NE79,ENSG00000112276,BVES,Q9ES83,ENSMUSG00000071317,Bves,1,0,0
Q9H7M9,ENSG00000107738,C10orf54,Q9D659,ENSMUSG00000020101,Vsir,1,0,0
Q96F05,ENSG00000171067,C11orf24,Q9D8N1,ENSMUSG00000035372,1810055G02Rik,1,0,0
Q8IVY1,ENSG00000253313,C1orf210,Q9CQM1,ENSMUSG00000028536,2610528J11Rik,1,0,0
Q86YS7,ENSG00000111731,C2CD5 CDP138 KIAA0528,Q7TPS5,ENSMUSG00000030279,C2cd5,1,0,0
Q9BSF0,ENSG00000187699,C2orf88,Q9CPS8,ENSMUSG00000043629,1700019D03Rik,1,0,0
Q16581,ENSG00000171860,C3AR1,O09047,ENSMUSG00000040552,C3ar1,1,0,0
P21730,ENSG00000197405,C5AR1,P30993,ENSMUSG00000049130,C5ar1,1,0,0
Q9P296,ENSG00000134830,C5AR2,NA,ENSMUSG00000074361,NA,1,0,0
P07357,ENSG00000157131,C8A,Q8K182,ENSMUSG00000035031,C8a,1,0,0
P02748,ENSG00000113600,C9,NA,ENSMUSG00000022149,NA,1,0,0
P00918,ENSG00000104267,CA2,P00920,ENSMUSG00000027562,Car2,1,0,0
P22748,ENSG00000167434,CA4,Q64444,ENSMUSG00000000805,Car4,1,0,0
Q16790,ENSG00000107159,CA9,Q8VHB5,ENSMUSG00000028463,Car9,1,0,0
Q9NZU7,ENSG00000157782,CABP1,Q9JLK7,ENSMUSG00000029544,Cabp1,1,0,0
Q9NPB3,ENSG00000167791,CABP2,NA,ENSMUSG00000024857,NA,1,0,0
Q86V35,ENSG00000100314,CABP7,Q91ZM8,ENSMUSG00000009075,Cabp7,1,0,0
Q13936,ENSG00000151067,CACNA1C,Q01815,ENSMUSG00000051331,Cacna1c,1,0,0
O43497,ENSG00000006283,CACNA1G,NA,ENSMUSG00000020866,NA,1,0,0
Q9UBN1,ENSG00000075461,CACNG4,Q9JJV4,ENSMUSG00000020723,Cacng4,1,0,0
Q9UF02,ENSG00000075429,CACNG5,Q8VHW4,ENSMUSG00000040373,Cacng5,1,0,0
Q8WXS5,ENSG00000142408,CACNG8,NA,ENSMUSG00000053395,NA,1,0,0
Q9BY67,ENSG00000182985,CADM1,Q8R5M8,ENSMUSG00000032076,Cadm1,1,0,0
Q8N3J6,ENSG00000175161,CADM2,Q8BLQ9,ENSMUSG00000064115,Cadm2,1,0,0
Q8N126,ENSG00000162706,CADM3,Q99N28,ENSMUSG00000005338,Cadm3,1,0,0
P30988,ENSG00000004948,CALCR,Q60755,ENSMUSG00000023964,Calcr,1,0,0
Q16602,ENSG00000064989,CALCRL,Q9R1W5,ENSMUSG00000059588,Calcrl,1,0,0
Q8IU99,ENSG00000185933,CALHM1,D3Z291,ENSMUSG00000079258,Calhm1,1,0,0
Q9BXU9,ENSG00000183166,CALN1,Q9JJG7,ENSMUSG00000060371,Caln1,1,0,0
Q9NYX4,ENSG00000130643,CALY,Q9DCA7,ENSMUSG00000025468,Caly,1,0,0
Q9UQM7,ENSG00000070808,CAMK2A CAMKA KIAA0968,P11798,ENSMUSG00000024617,Camk2a,1,0,0
Q7Z7J9,ENSG00000162545,CAMK2N1,Q6QWF9,ENSMUSG00000046447,Camk2n1,1,0,0
Q8WVQ1,ENSG00000171302,CANT1,Q8VCF1,ENSMUSG00000025575,Cant1,1,0,0
P07384,ENSG00000014216,CAPN1 CANPL1 PIG30,O35350,ENSMUSG00000024942,Capn1,1,0,0
P17655,ENSG00000162909,CAPN2 CANPL2,O08529,ENSMUSG00000026509,Capn2,1,0,0
P04632,ENSG00000126247,CAPNS1 CAPN4 CAPNS,NA,ENSMUSG00000001794,NA,1,0,0
Q96L46,ENSG00000256812,CAPNS2,Q9D7J7,ENSMUSG00000078144,Capns2,1,0,0
Q8ND23,ENSG00000186648,CARMIL3 C14orf121 LRRC16B,Q3UFQ8,ENSMUSG00000022211,Carmil3,1,0,0
P41180,ENSG00000283187,CASR,NA,NA,NA,1,0,0
Q7Z7H3,ENSG00000158428,CATIP C2orf62,B9EKE5,ENSMUSG00000073650,Catip,1,0,0
Q8NEC5,ENSG00000175294,CATSPER1,Q91ZR5,ENSMUSG00000038498,Catsper1,1,0,0
Q96P56,ENSG00000166762,CATSPER2,NA,ENSMUSG00000033486,NA,1,0,0
Q86XQ3,ENSG00000152705,CATSPER3,Q80W99,ENSMUSG00000021499,Catsper3,1,0,0
Q7RTX7,ENSG00000188782,CATSPER4,Q8BVN3,ENSMUSG00000048003,Catsper4,1,0,0
Q86XM0,ENSG00000174898,CATSPERD,E9Q9F6,ENSMUSG00000040828,Catsperd,1,0,0
P22681,ENSG00000110395,CBL CBL2 RNF55,P22682,ENSMUSG00000034342,Cbl,1,0,0
P23435,ENSG00000102924,CBLN1,Q9R171,ENSMUSG00000031654,Cbln1,1,0,0
Q6ZU64,ENSG00000181378,CCDC108,Q3V0B4,ENSMUSG00000047021,Cfap65,1,0,0
A2IDD5,ENSG00000162004,CCDC78 C16orf25 JFP10,D3Z5T1,ENSMUSG00000071202,Ccdc78,1,0,0
P32238,ENSG00000163394,CCKAR,O08786,ENSMUSG00000029193,Cckar,1,0,0
P32239,ENSG00000110148,CCKBR,P56481,ENSMUSG00000030898,Cckbr,1,0,0
Q8ND76,ENSG00000108100,CCNY C10orf9 CBCP1 CFP1,Q8BGU5,ENSMUSG00000024286,Ccny,1,0,0
P32246,ENSG00000163823,CCR1,P51675,ENSMUSG00000025804,Ccr1,1,0,0
P32246,ENSG00000163823,CCR1,P51676,ENSMUSG00000064039,Ccr1l1,1,0,0
P46092,ENSG00000184451,CCR10,Q9JL21,ENSMUSG00000044052,Ccr10,1,0,0
P41597,ENSG00000121807,CCR2,P51683,ENSMUSG00000049103,Ccr2,1,0,0
P41597,ENSG00000121807,CCR2,P51682,ENSMUSG00000079227,Ccr5,1,0,0
P51677,ENSG00000183625,CCR3,P51678,ENSMUSG00000035448,Ccr3,1,0,0
P51679,ENSG00000183813,CCR4,P51680,ENSMUSG00000047898,Ccr4,1,0,0
P51681,ENSG00000160791,CCR5,NA,NA,NA,1,0,0
P51684,ENSG00000112486,CCR6,O54689,ENSMUSG00000040899,Ccr6,1,0,0
P32248,ENSG00000126353,CCR7,P47774,ENSMUSG00000037944,Ccr7,1,0,0
P51685,ENSG00000179934,CCR8,P56484,ENSMUSG00000042262,Ccr8,1,0,0
P51686,ENSG00000173585,CCR9,Q9WUT7,ENSMUSG00000029530,Ccr9,1,0,0
O00421,ENSG00000121797,CCRL2,O35457,ENSMUSG00000043953,Ccrl2,1,0,0
Q6YHK3,ENSG00000156535,CD109,Q8R422,ENSMUSG00000046186,Cd109,1,0,0
O95971,ENSG00000117281,CD160,O88875,ENSMUSG00000038304,Cd160,1,0,0
Q04900,ENSG00000135535,CD164,Q9R0L9,ENSMUSG00000019818,Cd164,1,0,0
Q99467,ENSG00000134061,CD180,Q62192,ENSMUSG00000021624,Cd180,1,0,0
P06126,ENSG00000158477,CD1A,NA,NA,NA,1,0,0
P29016,ENSG00000158485,CD1B,NA,NA,NA,1,0,0
P29017,ENSG00000158481,CD1C,NA,NA,NA,1,0,0
P15813,ENSG00000158473,CD1D,NA,ENSMUSG00000028076,NA,1,0,0
P15813,ENSG00000158473,CD1D,NA,ENSMUSG00000041750,NA,1,0,0
