"","protein_uniprot","ensembl","gene_name"
"326","Q96RT6","ENSG00000282841","CTAGE1"
"327","Q14209","ENSG00000282899","E2F2"
"328","Q02535","ENSG00000283060","ID3"
"329","Q53TQ3","ENSG00000283510","INO80D"
"331","Q14331","ENSG00000283630","FRG1"
"347","Q9UGU0","ENSG00000283681","TCF20"
"349","P28331","ENSG00000283447","NDUFS1"
"353","P24534","ENSG00000283391","EEF1B2"
"355","P46091","ENSG00000283448","GPR1"
"357","Q9HCK1","ENSG00000283649","ZDBF2"
"360","P03886","ENSG00000198888","MT-ND1"
"361","P03891","ENSG00000198763","MT-ND2"
"362","P00395","ENSG00000198804","MT-CO1"
"363","P00403","ENSG00000198712","MT-CO2"
"364","P03928","ENSG00000228253","MT-ATP8"
"365","P00846","ENSG00000198899","MT-ATP6"
"366","P00414","ENSG00000198938","MT-CO3"
"367","O60565","ENSG00000276886","GREM1"
"368","P03897","ENSG00000198840","MT-ND3"
"370","P03901","ENSG00000212907","MT-ND4L"
"371","Q5H9T9","ENSG00000189139","FSCB"
"372","Q5VZR2","ENSG00000188152","NUTM2G"
"374","P03905","ENSG00000198886","MT-ND4"
"376","P03915","ENSG00000198786","MT-ND5"
"378","P03923","ENSG00000198695","MT-ND6"
"379","Q5VYM1","ENSG00000174038","C9orf131"
"380","P00156","ENSG00000198727","MT-CYB"
"383","P41236","ENSG00000184203","PPP1R2"
"385","O95551","ENSG00000111802","TDP2"
"386","P51955","ENSG00000117650","NEK2"
"388","Q9NQZ5","ENSG00000084090","STARD7"
"391","Q6TCH7","ENSG00000163291","PAQR3"
"394","Q8WWY3","ENSG00000275117","PRPF31"
"395","P28067","ENSG00000243215","HLA-DMA"
"398","P0C1Z6","ENSG00000276296","TFPT"
"399","Q6PG37","ENSG00000197863","ZNF790"
"401","Q8NGK6","ENSG00000232268","OR52I1"
"403","Q8NG99","ENSG00000170923","OR7G2"
"407","Q9BY49","ENSG00000115425","PECR"
"408","Q8TAW3","ENSG00000083814","ZNF671"
"409","Q9NV64","ENSG00000176142","TMEM39A"
"410","Q7Z404","ENSG00000277667","TMC4"
"414","Q96JE7","ENSG00000120341","SEC16B"
"417","Q99706","ENSG00000274232","KIR2DL4"
"420","O95865","ENSG00000233076","DDAH2"
"421","P36954","ENSG00000105258","POLR2I"
"423","Q7Z404","ENSG00000277996","TMC4"
"426","Q96QD8","ENSG00000134294","SLC38A2"
"427","P0C1Z6","ENSG00000276323","TFPT"
"428","Q6ZRH7","ENSG00000099338","CATSPERG"
"431","Q9UN72","ENSG00000204963","PCDHA7"
"432","Q8NCP5","ENSG00000196323","ZBTB44"
"433","Q9Y5H6","ENSG00000204962","PCDHA8"
"435","Q8NAM6","ENSG00000180532","ZSCAN4"
"438","Q9P1V8","ENSG00000100583","SAMD15"
"440","Q9BTY2","ENSG00000001036","FUCA2"
"442","Q9P0V3","ENSG00000130147","SH3BP4"
"446","E9PJ23","ENSG00000198156","NPIPB6"
"447","Q6ZNA1","ENSG00000196267","ZNF836"
"448","Q13480","ENSG00000109458","GAB1"
"449","Q9BXI9","ENSG00000133466","C1QTNF6"
"451","Q9NX31","ENSG00000132823","OSER1"
"453","Q9P1F3","ENSG00000146386","ABRACL"
"455","Q96HA8","ENSG00000156795","WDYHV1"
"456","P01817","ENSG00000211937","IGHV2-5"
"458","Q9BVA1","ENSG00000137285","TUBB2B"
"459","P36776","ENSG00000196365","LONP1"
"461","Q6PDB4","ENSG00000221923","ZNF880"
"465","P01766","ENSG00000211942","IGHV3-13"
"466","Q92567","ENSG00000054965","FAM168A"
"467","Q86X55","ENSG00000142453","CARM1"
"469","Q6FI81","ENSG00000005194","CIAPIN1"
"470","Q96N16","ENSG00000152969","JAKMIP1"
"472","Q9NRE2","ENSG00000182463","TSHZ2"
"474","P02763","ENSG00000229314","ORM1"
"476","Q8NEA4","ENSG00000153832","FBXO36"
"478","Q99426","ENSG00000105254","TBCB"
"480","P47974","ENSG00000152518","ZFP36L2"
"481","A6NN92","ENSG00000203733","GJE1"
"482","O43915","ENSG00000165197","VEGFD"
"483","P35542","ENSG00000148965","SAA4"
"486","Q8IUH5","ENSG00000186908","ZDHHC17"
"487","P08514","ENSG00000005961","ITGA2B"
"491","Q9Y5S2","ENSG00000198752","CDC42BPB"
"493","Q5VZM2","ENSG00000083750","RRAGB"
"495","Q9GZQ4","ENSG00000132911","NMUR2"
"496","Q96N58","ENSG00000258405","ZNF578"
"498","Q96LI5","ENSG00000138767","CNOT6L"
"500","Q8N5U0","ENSG00000180878","C11orf42"
"501","P00734","ENSG00000180210","F2"
"503","P16383","ENSG00000005436","GCFC2"
"504","Q8IYB1","ENSG00000180611","MB21D2"
"505","Q14206","ENSG00000172348","RCAN2"
"506","Q9BSH5","ENSG00000119431","HDHD3"
"510","Q6ZVE7","ENSG00000174567","GOLT1A"
"511","Q7Z429","ENSG00000178719","GRINA"
"513","Q9UHK0","ENSG00000083635","NUFIP1"
"514","Q9BQ69","ENSG00000133315","MACROD1"
"516","Q9NT22","ENSG00000183798","EMILIN3"
"517","Q8IUR5","ENSG00000133687","TMTC1"
"521","P51522","ENSG00000167766","ZNF83"
"523","Q15619","ENSG00000221888","OR1C1"
"524","Q96PD6","ENSG00000124003","MOGAT1"
"526","Q03692","ENSG00000123500","COL10A1"
"528","Q14332","ENSG00000180340","FZD2"
"530","Q6ZVK1","ENSG00000258986","TMEM179"
"531","P31391","ENSG00000132671","SSTR4"
"534","Q8IW70","ENSG00000178233","TMEM151B"
"539","O15303","ENSG00000113262","GRM6"
"541","Q9BPU9","ENSG00000123810","B9D2"
"544","Q9UGI0","ENSG00000019995","ZRANB1"
"545","Q9Y5Z9","ENSG00000120942","UBIAD1"
"546","Q6ZNG1","ENSG00000189190","ZNF600"
"547","A1A519","ENSG00000164334","FAM170A"
"548","B6A8C7","ENSG00000276145","TARM1"
"549","O75373","ENSG00000237440","ZNF737"
"550","Q9UFB7","ENSG00000114853","ZBTB47"
"551","P34931","ENSG00000236251","HSPA1L"
"555","P02812","ENSG00000121335","PRB2"
"556","Q8NEM1","ENSG00000173041","ZNF680"
"560","Q6ZMJ2","ENSG00000168079","SCARA5"
"561","Q6UWF9","ENSG00000189320","FAM180A"
"564","Q8WVL7","ENSG00000168876","ANKRD49"
"566","P0DN86","ENSG00000104827","CGB3"
"567","O75871","ENSG00000274131","CEACAM4"
"568","P50458","ENSG00000106689","LHX2"
"570","Q8IXT5","ENSG00000183808","RBM12B"
"571","Q9P0V8","ENSG00000158714","SLAMF8"
"572","P85037","ENSG00000164916","FOXK1"
"573","Q99988","ENSG00000130513","GDF15"
"574","Q9ULI3","ENSG00000173706","HEG1"
"577","Q5T2D3","ENSG00000169914","OTUD3"
"580","Q9H4B7","ENSG00000101162","TUBB1"
"581","P06340","ENSG00000232962","HLA-DOA"
"582","P50336","ENSG00000143224","PPOX"
"584","Q96C19","ENSG00000142634","EFHD2"
"585","Q8IWY8","ENSG00000140265","ZSCAN29"
"587","Q9BUH8","ENSG00000183092","BEGAIN"
"588","Q8N7U6","ENSG00000163576","EFHB"
"593","P0DJJ0","ENSG00000171943","SRGAP2C"
"595","O60248","ENSG00000129194","SOX15"
"596","P52798","ENSG00000243364","EFNA4"
"597","Q9Y4H4","ENSG00000234243","GPSM3"
"598","P52951","ENSG00000168505","GBX2"
"599","Q99470","ENSG00000132581","SDF2"
"600","E0CX11","ENSG00000243317","C7orf73"
"601","P01825","ENSG00000224373","IGHV4-59"
"606","Q96A59","ENSG00000140832","MARVELD3"
"609","P41223","ENSG00000106245","BUD31"
"611","Q8N8D9","ENSG00000197536","C5orf56"
"612","Q9BTE1","ENSG00000166847","DCTN5"
"613","Q9HCN6","ENSG00000276065","GP6"
"615","A6NLW8","ENSG00000258873","DUXA"
"619","P61009","ENSG00000129128","SPCS3"
"620","Q9H2S5","ENSG00000230467","RNF39"
"622","Q9P0T4","ENSG00000171425","ZNF581"
"624","Q13884","ENSG00000172164","SNTB1"
"625","Q00LT1","ENSG00000214140","PRCD"
"627","Q15777","ENSG00000066382","MPPED2"
"628","P41567","ENSG00000173812","EIF1"
"629","B6A8C7","ENSG00000274889","TARM1"
"630","Q6UW15","ENSG00000143954","REG3G"
"633","Q15814","ENSG00000124659","TBCC"
"634","O60814","ENSG00000197903","HIST1H2BK"
"636","Q30KQ4","ENSG00000215545","DEFB116"
"640","Q9BYT5","ENSG00000214518","KRTAP2-2"
"643","Q9H009","ENSG00000253506","NACA2"
"645","A6NM62","ENSG00000162621","LRRC53"
"647","P0DMU7","ENSG00000278289","CT45A6"
"648","Q8IW36","ENSG00000197472","ZNF695"
"649","Q8TBN0","ENSG00000167994","RAB3IL1"
"654","P18825","ENSG00000184160","ADRA2C"
"656","Q66GS9","ENSG00000174799","CEP135"
"658","Q86WS4","ENSG00000180116","C12orf40"
"659","P05814","ENSG00000135222","CSN2"
"660","A0PJZ3","ENSG00000172986","GXYLT2"
"661","Q9NX76","ENSG00000091317","CMTM6"
"662","Q8IYS5","ENSG00000274703","OSCAR"
"664","Q96QH2","ENSG00000133246","PRAM1"
"665","Q6UWI2","ENSG00000169116","PARM1"
"666","Q96G03","ENSG00000169299","PGM2"
"667","O14718","ENSG00000180245","RRH"
"668","P0C1Z6","ENSG00000278161","TFPT"
"669","A1L170","ENSG00000239887","C1orf226"
"670","Q8WWB3","ENSG00000170788","DYDC1"
"672","Q9H299","ENSG00000142669","SH3BGRL3"
"673","B6A8C7","ENSG00000277178","TARM1"
"676","Q92561","ENSG00000168490","PHYHIP"
"678","Q8TAM6","ENSG00000136541","ERMN"
"679","Q9NXL6","ENSG00000072858","SIDT1"
"683","Q15274","ENSG00000103485","QPRT"
"687","Q9UJM3","ENSG00000116285","ERRFI1"
"689","P30046","ENSG00000099977","DDT"
"692","C9J202","ENSG00000251287","ALG1L2"
"693","O95876","ENSG00000143951","WDPCP"
"694","P31358","ENSG00000169442","CD52"
"695","Q969S6","ENSG00000187713","TMEM203"
"697","Q8N5M4","ENSG00000162222","TTC9C"
"698","Q92781","ENSG00000135437","RDH5"
"699","P15311","ENSG00000092820","EZR"
"704","P61225","ENSG00000181467","RAP2B"
"705","Q9Y5U5","ENSG00000186891","TNFRSF18"
"707","Q96IR2","ENSG00000213799","ZNF845"
"708","Q9Y324","ENSG00000119616","FCF1"
"709","Q5SY68","ENSG00000197364","S100A7L2"
"714","Q9NR90","ENSG00000187191","DAZ3"
"716","P05162","ENSG00000100079","LGALS2"
"717","P08727","ENSG00000171345","KRT19"
"719","Q6N022","ENSG00000149256","TENM4"
"722","Q9NQV8","ENSG00000152784","PRDM8"
"724","Q15013","ENSG00000124688","MAD2L1BP"
"726","Q3KP22","ENSG00000168070","MAJIN"
"727","Q5JTZ5","ENSG00000188959","C9orf152"
"728","Q8NBN7","ENSG00000274418","RDH13"
"730","Q96MX6","ENSG00000243667","WDR92"
"731","Q99944","ENSG00000242038","EGFL8"
"733","Q8NFQ6","ENSG00000184459","BPIFC"
"734","O76036","ENSG00000273506","NCR1"
"738","Q9H7J1","ENSG00000235194","PPP1R3E"
"741","Q8NHP8","ENSG00000151176","PLBD2"
"742","P0DMP2","ENSG00000196369","SRGAP2B"
"744","O75175","ENSG00000274176","CNOT3"
"746","Q8NEP4","ENSG00000181013","C17orf47"
"747","Q9ULL0","ENSG00000250423","KIAA1210"
"748","P31785","ENSG00000147168","IL2RG"
"749","P30926","ENSG00000117971","CHRNB4"
"750","Q86XJ1","ENSG00000139354","GAS2L3"
"751","O00602","ENSG00000085265","FCN1"
"752","Q9P2A4","ENSG00000108798","ABI3"
"754","P51815","ENSG00000186376","ZNF75D"
"755","Q8TBQ9","ENSG00000174695","TMEM167A"
"758","P11509","ENSG00000255974","CYP2A6"
"763","Q502X0","ENSG00000188010","MORN2"
"767","Q96N66","ENSG00000278519","MBOAT7"
"768","Q9P1Q5","ENSG00000172146","OR1A1"
"769","Q15818","ENSG00000171246","NPTX1"
"772","B6A8C7","ENSG00000275806","TARM1"
"773","H0Y354","ENSG00000263513","FAM72C"
"774","P20290","ENSG00000145741","BTF3"
"777","O60656","ENSG00000241119","UGT1A9"
"779","Q9BSM1","ENSG00000115289","PCGF1"
"782","Q5VV63","ENSG00000107518","ATRNL1"
"783","Q9UHJ3","ENSG00000163935","SFMBT1"
"784","Q15776","ENSG00000198315","ZKSCAN8"
"785","Q96QA5","ENSG00000167914","GSDMA"
"787","P45452","ENSG00000137745","MMP13"
"788","Q2TAM9","ENSG00000198680","TUSC1"
"789","Q92805","ENSG00000136935","GOLGA1"
"791","P58304","ENSG00000119614","VSX2"
"795","Q96BD0","ENSG00000101187","SLCO4A1"
"799","P55064","ENSG00000161798","AQP5"
"801","Q07343","ENSG00000184588","PDE4B"
"802","Q02325","ENSG00000125551","PLGLB2"
"803","Q15345","ENSG00000132128","LRRC41"
"805","Q8N386","ENSG00000175489","LRRC25"
"806","Q9BTV4","ENSG00000170876","TMEM43"
"807","Q9UMQ3","ENSG00000043039","BARX2"
"808","P02489","ENSG00000160202","CRYAA"
"811","Q9TQE0","ENSG00000236884","HLA-DRB1"
"812","P13761","ENSG00000236884","HLA-DRB1"
"813","P08686","ENSG00000235134","CYP21A2"
"815","P80294","ENSG00000205358","MT1H"
"817","Q9H6A0","ENSG00000162777","DENND2D"
"818","Q96N66","ENSG00000277025","MBOAT7"
"822","P15313","ENSG00000116039","ATP6V1B1"
"823","O00754","ENSG00000104774","MAN2B1"
"825","Q6NXG1","ENSG00000104413","ESRP1"
"828","Q9BXX3","ENSG00000148513","ANKRD30A"
"830","Q14147","ENSG00000134815","DHX34"
"832","P40261","ENSG00000166741","NNMT"
"834","Q9H4A6","ENSG00000113384","GOLPH3"
"836","Q9Y6A4","ENSG00000070761","CFAP20"
"837","Q68DY1","ENSG00000188171","ZNF626"
"838","Q13636","ENSG00000168461","RAB31"
"843","A2RTX5","ENSG00000185418","TARSL2"
"846","Q96HE8","ENSG00000177042","TMEM80"
"847","Q96FM1","ENSG00000161395","PGAP3"
"848","Q8IY95","ENSG00000170088","TMEM192"
"849","P07919","ENSG00000173660","UQCRH"
"850","P35221","ENSG00000044115","CTNNA1"
"851","P02655","ENSG00000234906","APOC2"
"857","O00461","ENSG00000173905","GOLIM4"
"859","Q15165","ENSG00000105854","PON2"
"860","Q9UHV7","ENSG00000108510","MED13"
"864","P15328","ENSG00000110195","FOLR1"
"869","O14931","ENSG00000237808","NCR3"
"875","Q9UIL4","ENSG00000125337","KIF25"
"876","Q15648","ENSG00000125686","MED1"
"877","Q8WTQ1","ENSG00000277006","DEFB104B"
"881","Q9H063","ENSG00000179632","MAF1"
"884","P19961","ENSG00000240038","AMY2B"
"886","Q9NQ69","ENSG00000143355","LHX9"
"888","O60423","ENSG00000130270","ATP8B3"
"890","O60635","ENSG00000117472","TSPAN1"
"891","Q14116","ENSG00000150782","IL18"
"893","Q8NGF4","ENSG00000172464","OR5AP2"
"894","P10176","ENSG00000176340","COX8A"
"895","Q9BXI6","ENSG00000099992","TBC1D10A"
"896","P31930","ENSG00000010256","UQCRC1"
"899","P05408","ENSG00000277614","SCG5"
"902","P0C7T8","ENSG00000232070","TMEM253"
"903","Q9Y2A7","ENSG00000061676","NCKAP1"
"905","Q6ZRF8","ENSG00000158286","RNF207"
"906","P29322","ENSG00000070886","EPHA8"
"907","Q7Z7G1","ENSG00000109684","CLNK"
"908","Q13326","ENSG00000102683","SGCG"
"909","Q3KR37","ENSG00000023171","GRAMD1B"
"912","P62807","ENSG00000274290","HIST1H2BE"
"913","P10109","ENSG00000137714","FDX1"
"914","O77932","ENSG00000234798","DXO"
"915","P49767","ENSG00000150630","VEGFC"
"917","Q6L8G9","ENSG00000277389","KRTAP5-6"
"923","Q9NZV8","ENSG00000184408","KCND2"
"925","Q9P1U0","ENSG00000066379","ZNRD1"
"928","O75829","ENSG00000136110","LECT1"
"929","P13798","ENSG00000164062","APEH"
"931","P0C5J1","ENSG00000145002","FAM86B2"
"932","A6NGN4","ENSG00000276299","PRAMEF25"
"934","Q7Z5L4","ENSG00000166118","SPATA19"
"936","Q6DN72","ENSG00000181036","FCRL6"
"940","Q9GZP0","ENSG00000170962","PDGFD"
"941","Q96S79","ENSG00000270885","RASL10B"
"943","Q96KN7","ENSG00000092200","RPGRIP1"
"944","Q6NUT3","ENSG00000161091","MFSD12"
"948","Q5JUK2","ENSG00000165643","SOHLH1"
"950","O75715","ENSG00000257770","GPX5"
"951","O75072","ENSG00000106692","FKTN"
"952","Q8N7Q3","ENSG00000276219","ZNF676"
"953","Q9NNX9","ENSG00000169059","VCX3A"
"954","Q9NYS7","ENSG00000176871","WSB2"
"958","Q9BQM9","ENSG00000149609","C20orf144"
"959","Q8IYS5","ENSG00000170909","OSCAR"
"960","Q3B7I2","ENSG00000146910","CNPY1"
"962","Q9H7V2","ENSG00000101463","SYNDIG1"
"964","Q8IZC4","ENSG00000182010","RTKN2"
"966","Q8N539","ENSG00000130720","FIBCD1"
"967","O95157","ENSG00000182575","NXPH3"
"969","Q9NRM1","ENSG00000132464","ENAM"
"972","Q8WXD2","ENSG00000104112","SCG3"
"977","O60882","ENSG00000137674","MMP20"
"978","P43626","ENSG00000278821","KIR2DL1"
"979","P39059","ENSG00000204291","COL15A1"
"980","P0C7U0","ENSG00000225968","ELFN1"
"981","P59510","ENSG00000173157","ADAMTS20"
"983","P01903","ENSG00000226260","HLA-DRA"
"984","Q68DU8","ENSG00000183775","KCTD16"
"986","Q15650","ENSG00000103671","TRIP4"
"989","P40925","ENSG00000014641","MDH1"
"990","O95500","ENSG00000159261","CLDN14"
"991","Q6XPR3","ENSG00000215853","RPTN"
"994","Q53H12","ENSG00000262327","AGK"
"996","Q8IZP1","ENSG00000274611","TBC1D3"
"997","Q15173","ENSG00000068971","PPP2R5B"
"999","Q2M3D2","ENSG00000130201","EXOC3L2"
"1000","P62805","ENSG00000197061","HIST1H4C"
"1001","Q9H6X4","ENSG00000172663","TMEM134"
"1003","P14555","ENSG00000188257","PLA2G2A"
"1004","P41180","ENSG00000283187","CASR"
"1005","Q9P0W5","ENSG00000283245","SCHIP1"
"1006","Q9UBB9","ENSG00000100109","TFIP11"
"1008","Q9Y5L0","ENSG00000064419","TNPO3"
"1009","Q96AP7","ENSG00000149564","ESAM"
"1010","Q08J23","ENSG00000037474","NSUN2"
"1012","Q9BSG1","ENSG00000275111","ZNF2"
"1013","P08670","ENSG00000026025","VIM"
"1014","Q8TF62","ENSG00000104043","ATP8B4"
"1015","A0A096LP49","ENSG00000260220","CCDC187"
"1016","Q9BSV6","ENSG00000274672","TSEN34"
"1017","Q6ZS81","ENSG00000283652","WDFY4"
"1018","Q9Y5G0","ENSG00000276547","PCDHGB5"
"1021","Q8N8A8","ENSG00000185087","FAM169B"
"1026","Q9P1A6","ENSG00000283494","DLGAP2"
"1027","O15541","ENSG00000125352","RNF113A"
"1028","Q9NZU0","ENSG00000125848","FLRT3"
"1031","Q9HCM9","ENSG00000224994","TRIM39"
"1036","Q9BWT3","ENSG00000115421","PAPOLG"
"1037","Q9UN37","ENSG00000132612","VPS4A"
"1040","P51878","ENSG00000137757","CASP5"
"1043","Q9NPD5","ENSG00000111700","SLCO1B3"
"1047","Q969V6","ENSG00000196588","MKL1"
"1048","Q9NS62","ENSG00000136114","THSD1"
"1049","Q14872","ENSG00000188786","MTF1"
"1050","Q495T6","ENSG00000277131","MMEL1"
"1053","Q8TDX7","ENSG00000151414","NEK7"
"1054","Q9NVU7","ENSG00000198301","SDAD1"
"1057","Q96BW9","ENSG00000144559","TAMM41"
"1059","P51843","ENSG00000169297","NR0B1"
