protein_uniprot,ensembl,gene_name
Q96JE7,ENSG00000120341,SEC16B
Q99706,ENSG00000274232,KIR2DL4
O95865,ENSG00000233076,DDAH2
P36954,ENSG00000105258,POLR2I
Q7Z404,ENSG00000277996,TMC4
Q96QD8,ENSG00000134294,SLC38A2
P0C1Z6,ENSG00000276323,TFPT
Q6ZRH7,ENSG00000099338,CATSPERG
Q9UN72,ENSG00000204963,PCDHA7
Q8NCP5,ENSG00000196323,ZBTB44
Q9Y5H6,ENSG00000204962,PCDHA8
Q8NAM6,ENSG00000180532,ZSCAN4
Q9P1V8,ENSG00000100583,SAMD15
Q9BTY2,ENSG00000001036,FUCA2
Q9P0V3,ENSG00000130147,SH3BP4
E9PJ23,ENSG00000198156,NPIPB6
Q6ZNA1,ENSG00000196267,ZNF836
Q13480,ENSG00000109458,GAB1
Q9BXI9,ENSG00000133466,C1QTNF6
Q9NX31,ENSG00000132823,OSER1
Q9P1F3,ENSG00000146386,ABRACL
Q96HA8,ENSG00000156795,WDYHV1
P01817,ENSG00000211937,IGHV2-5
Q9BVA1,ENSG00000137285,TUBB2B
P36776,ENSG00000196365,LONP1
Q6PDB4,ENSG00000221923,ZNF880
P01766,ENSG00000211942,IGHV3-13
Q92567,ENSG00000054965,FAM168A
Q86X55,ENSG00000142453,CARM1
Q6FI81,ENSG00000005194,CIAPIN1
Q96N16,ENSG00000152969,JAKMIP1
Q9NRE2,ENSG00000182463,TSHZ2
P02763,ENSG00000229314,ORM1
Q8NEA4,ENSG00000153832,FBXO36
Q99426,ENSG00000105254,TBCB
P47974,ENSG00000152518,ZFP36L2
A6NN92,ENSG00000203733,GJE1
O43915,ENSG00000165197,VEGFD
P35542,ENSG00000148965,SAA4
Q8IUH5,ENSG00000186908,ZDHHC17
P08514,ENSG00000005961,ITGA2B
Q9Y5S2,ENSG00000198752,CDC42BPB
Q5VZM2,ENSG00000083750,RRAGB
Q9GZQ4,ENSG00000132911,NMUR2
Q96N58,ENSG00000258405,ZNF578
Q96LI5,ENSG00000138767,CNOT6L
Q8N5U0,ENSG00000180878,C11orf42
P00734,ENSG00000180210,F2
P16383,ENSG00000005436,GCFC2
Q8IYB1,ENSG00000180611,MB21D2
Q14206,ENSG00000172348,RCAN2
Q9BSH5,ENSG00000119431,HDHD3
Q6ZVE7,ENSG00000174567,GOLT1A
Q7Z429,ENSG00000178719,GRINA
Q9UHK0,ENSG00000083635,NUFIP1
Q9BQ69,ENSG00000133315,MACROD1
Q9NT22,ENSG00000183798,EMILIN3
Q8IUR5,ENSG00000133687,TMTC1
P51522,ENSG00000167766,ZNF83
Q15619,ENSG00000221888,OR1C1
Q96PD6,ENSG00000124003,MOGAT1
Q03692,ENSG00000123500,COL10A1
Q14332,ENSG00000180340,FZD2
Q6ZVK1,ENSG00000258986,TMEM179
P31391,ENSG00000132671,SSTR4
Q8IW70,ENSG00000178233,TMEM151B
O15303,ENSG00000113262,GRM6
Q9BPU9,ENSG00000123810,B9D2
Q9UGI0,ENSG00000019995,ZRANB1
Q9Y5Z9,ENSG00000120942,UBIAD1
Q6ZNG1,ENSG00000189190,ZNF600
A1A519,ENSG00000164334,FAM170A
B6A8C7,ENSG00000276145,TARM1
O75373,ENSG00000237440,ZNF737
Q9UFB7,ENSG00000114853,ZBTB47
P34931,ENSG00000236251,HSPA1L
P02812,ENSG00000121335,PRB2
Q8NEM1,ENSG00000173041,ZNF680
Q6ZMJ2,ENSG00000168079,SCARA5
Q6UWF9,ENSG00000189320,FAM180A
Q8WVL7,ENSG00000168876,ANKRD49
P0DN86,ENSG00000104827,CGB3
O75871,ENSG00000274131,CEACAM4
P50458,ENSG00000106689,LHX2
Q8IXT5,ENSG00000183808,RBM12B
Q9P0V8,ENSG00000158714,SLAMF8
P85037,ENSG00000164916,FOXK1
Q99988,ENSG00000130513,GDF15
Q9ULI3,ENSG00000173706,HEG1
Q5T2D3,ENSG00000169914,OTUD3
Q9H4B7,ENSG00000101162,TUBB1
P06340,ENSG00000232962,HLA-DOA
P50336,ENSG00000143224,PPOX
Q96C19,ENSG00000142634,EFHD2
Q8IWY8,ENSG00000140265,ZSCAN29
Q9BUH8,ENSG00000183092,BEGAIN
Q8N7U6,ENSG00000163576,EFHB
P0DJJ0,ENSG00000171943,SRGAP2C
O60248,ENSG00000129194,SOX15
P52798,ENSG00000243364,EFNA4
Q9Y4H4,ENSG00000234243,GPSM3
P52951,ENSG00000168505,GBX2
Q99470,ENSG00000132581,SDF2
E0CX11,ENSG00000243317,C7orf73
P01825,ENSG00000224373,IGHV4-59
Q96A59,ENSG00000140832,MARVELD3
P41223,ENSG00000106245,BUD31
Q8N8D9,ENSG00000197536,C5orf56
Q9BTE1,ENSG00000166847,DCTN5
Q9HCN6,ENSG00000276065,GP6
A6NLW8,ENSG00000258873,DUXA
P61009,ENSG00000129128,SPCS3
Q9H2S5,ENSG00000230467,RNF39
Q9P0T4,ENSG00000171425,ZNF581
Q13884,ENSG00000172164,SNTB1
Q00LT1,ENSG00000214140,PRCD
Q15777,ENSG00000066382,MPPED2
P41567,ENSG00000173812,EIF1
B6A8C7,ENSG00000274889,TARM1
Q6UW15,ENSG00000143954,REG3G
Q15814,ENSG00000124659,TBCC
O60814,ENSG00000197903,HIST1H2BK
Q30KQ4,ENSG00000215545,DEFB116
Q9BYT5,ENSG00000214518,KRTAP2-2
Q9H009,ENSG00000253506,NACA2
A6NM62,ENSG00000162621,LRRC53
P0DMU7,ENSG00000278289,CT45A6
Q8IW36,ENSG00000197472,ZNF695
Q8TBN0,ENSG00000167994,RAB3IL1
P18825,ENSG00000184160,ADRA2C
Q66GS9,ENSG00000174799,CEP135
Q86WS4,ENSG00000180116,C12orf40
P05814,ENSG00000135222,CSN2
A0PJZ3,ENSG00000172986,GXYLT2
Q9NX76,ENSG00000091317,CMTM6
Q8IYS5,ENSG00000274703,OSCAR
Q96QH2,ENSG00000133246,PRAM1
Q6UWI2,ENSG00000169116,PARM1
Q96G03,ENSG00000169299,PGM2
O14718,ENSG00000180245,RRH
P0C1Z6,ENSG00000278161,TFPT
A1L170,ENSG00000239887,C1orf226
Q8WWB3,ENSG00000170788,DYDC1
Q9H299,ENSG00000142669,SH3BGRL3
B6A8C7,ENSG00000277178,TARM1
Q92561,ENSG00000168490,PHYHIP
Q8TAM6,ENSG00000136541,ERMN
Q9NXL6,ENSG00000072858,SIDT1
Q15274,ENSG00000103485,QPRT
Q9UJM3,ENSG00000116285,ERRFI1
P30046,ENSG00000099977,DDT
C9J202,ENSG00000251287,ALG1L2
O95876,ENSG00000143951,WDPCP
P31358,ENSG00000169442,CD52
Q969S6,ENSG00000187713,TMEM203
Q8N5M4,ENSG00000162222,TTC9C
Q92781,ENSG00000135437,RDH5
P15311,ENSG00000092820,EZR
P61225,ENSG00000181467,RAP2B
Q9Y5U5,ENSG00000186891,TNFRSF18
Q96IR2,ENSG00000213799,ZNF845
Q9Y324,ENSG00000119616,FCF1
Q5SY68,ENSG00000197364,S100A7L2
Q9NR90,ENSG00000187191,DAZ3
P05162,ENSG00000100079,LGALS2
P08727,ENSG00000171345,KRT19
Q6N022,ENSG00000149256,TENM4
Q9NQV8,ENSG00000152784,PRDM8
Q15013,ENSG00000124688,MAD2L1BP
Q3KP22,ENSG00000168070,MAJIN
Q5JTZ5,ENSG00000188959,C9orf152
Q8NBN7,ENSG00000274418,RDH13
Q96MX6,ENSG00000243667,WDR92
Q99944,ENSG00000242038,EGFL8
Q8NFQ6,ENSG00000184459,BPIFC
O76036,ENSG00000273506,NCR1
Q9H7J1,ENSG00000235194,PPP1R3E
Q8NHP8,ENSG00000151176,PLBD2
P0DMP2,ENSG00000196369,SRGAP2B
O75175,ENSG00000274176,CNOT3
Q8NEP4,ENSG00000181013,C17orf47
Q9ULL0,ENSG00000250423,KIAA1210
P31785,ENSG00000147168,IL2RG
P30926,ENSG00000117971,CHRNB4
Q86XJ1,ENSG00000139354,GAS2L3
O00602,ENSG00000085265,FCN1
Q9P2A4,ENSG00000108798,ABI3
P51815,ENSG00000186376,ZNF75D
Q8TBQ9,ENSG00000174695,TMEM167A
P11509,ENSG00000255974,CYP2A6
Q502X0,ENSG00000188010,MORN2
Q96N66,ENSG00000278519,MBOAT7
Q9P1Q5,ENSG00000172146,OR1A1
Q15818,ENSG00000171246,NPTX1
B6A8C7,ENSG00000275806,TARM1
H0Y354,ENSG00000263513,FAM72C
P20290,ENSG00000145741,BTF3
O60656,ENSG00000241119,UGT1A9
Q9BSM1,ENSG00000115289,PCGF1
Q5VV63,ENSG00000107518,ATRNL1
Q9UHJ3,ENSG00000163935,SFMBT1
Q15776,ENSG00000198315,ZKSCAN8
Q96QA5,ENSG00000167914,GSDMA
P45452,ENSG00000137745,MMP13
Q2TAM9,ENSG00000198680,TUSC1
Q92805,ENSG00000136935,GOLGA1
P58304,ENSG00000119614,VSX2
Q96BD0,ENSG00000101187,SLCO4A1
P55064,ENSG00000161798,AQP5
Q07343,ENSG00000184588,PDE4B
Q02325,ENSG00000125551,PLGLB2
Q15345,ENSG00000132128,LRRC41
Q8N386,ENSG00000175489,LRRC25
Q9BTV4,ENSG00000170876,TMEM43
Q9UMQ3,ENSG00000043039,BARX2
P02489,ENSG00000160202,CRYAA
Q9TQE0,ENSG00000236884,HLA-DRB1
P13761,ENSG00000236884,HLA-DRB1
P08686,ENSG00000235134,CYP21A2
P80294,ENSG00000205358,MT1H
Q9H6A0,ENSG00000162777,DENND2D
Q96N66,ENSG00000277025,MBOAT7
P15313,ENSG00000116039,ATP6V1B1
O00754,ENSG00000104774,MAN2B1
Q6NXG1,ENSG00000104413,ESRP1
Q9BXX3,ENSG00000148513,ANKRD30A
Q14147,ENSG00000134815,DHX34
P40261,ENSG00000166741,NNMT
Q9H4A6,ENSG00000113384,GOLPH3
Q9Y6A4,ENSG00000070761,CFAP20
Q68DY1,ENSG00000188171,ZNF626
Q13636,ENSG00000168461,RAB31
A2RTX5,ENSG00000185418,TARSL2
Q96HE8,ENSG00000177042,TMEM80
Q96FM1,ENSG00000161395,PGAP3
Q8IY95,ENSG00000170088,TMEM192
P07919,ENSG00000173660,UQCRH
P35221,ENSG00000044115,CTNNA1
P02655,ENSG00000234906,APOC2
O00461,ENSG00000173905,GOLIM4
Q15165,ENSG00000105854,PON2
Q9UHV7,ENSG00000108510,MED13
P15328,ENSG00000110195,FOLR1
O14931,ENSG00000237808,NCR3
Q9UIL4,ENSG00000125337,KIF25
Q15648,ENSG00000125686,MED1
Q8WTQ1,ENSG00000277006,DEFB104B
Q9H063,ENSG00000179632,MAF1
P19961,ENSG00000240038,AMY2B
Q9NQ69,ENSG00000143355,LHX9
O60423,ENSG00000130270,ATP8B3
O60635,ENSG00000117472,TSPAN1
Q14116,ENSG00000150782,IL18
Q8NGF4,ENSG00000172464,OR5AP2
P10176,ENSG00000176340,COX8A
Q9BXI6,ENSG00000099992,TBC1D10A
P31930,ENSG00000010256,UQCRC1
P05408,ENSG00000277614,SCG5
P0C7T8,ENSG00000232070,TMEM253
Q9Y2A7,ENSG00000061676,NCKAP1
Q6ZRF8,ENSG00000158286,RNF207
P29322,ENSG00000070886,EPHA8
Q7Z7G1,ENSG00000109684,CLNK
Q13326,ENSG00000102683,SGCG
Q3KR37,ENSG00000023171,GRAMD1B
P62807,ENSG00000274290,HIST1H2BE
P10109,ENSG00000137714,FDX1
O77932,ENSG00000234798,DXO
P49767,ENSG00000150630,VEGFC
Q6L8G9,ENSG00000277389,KRTAP5-6
Q9NZV8,ENSG00000184408,KCND2
Q9P1U0,ENSG00000066379,ZNRD1
O75829,ENSG00000136110,LECT1
P13798,ENSG00000164062,APEH
P0C5J1,ENSG00000145002,FAM86B2
A6NGN4,ENSG00000276299,PRAMEF25
Q7Z5L4,ENSG00000166118,SPATA19
Q6DN72,ENSG00000181036,FCRL6
Q9GZP0,ENSG00000170962,PDGFD
Q96S79,ENSG00000270885,RASL10B
Q96KN7,ENSG00000092200,RPGRIP1
Q6NUT3,ENSG00000161091,MFSD12
Q5JUK2,ENSG00000165643,SOHLH1
O75715,ENSG00000257770,GPX5
O75072,ENSG00000106692,FKTN
Q8N7Q3,ENSG00000276219,ZNF676
Q9NNX9,ENSG00000169059,VCX3A
Q9NYS7,ENSG00000176871,WSB2
Q9BQM9,ENSG00000149609,C20orf144
Q8IYS5,ENSG00000170909,OSCAR
Q3B7I2,ENSG00000146910,CNPY1
Q9H7V2,ENSG00000101463,SYNDIG1
Q8IZC4,ENSG00000182010,RTKN2
Q8N539,ENSG00000130720,FIBCD1
O95157,ENSG00000182575,NXPH3
Q9NRM1,ENSG00000132464,ENAM
Q8WXD2,ENSG00000104112,SCG3
O60882,ENSG00000137674,MMP20
P43626,ENSG00000278821,KIR2DL1
P39059,ENSG00000204291,COL15A1
P0C7U0,ENSG00000225968,ELFN1
P59510,ENSG00000173157,ADAMTS20
P01903,ENSG00000226260,HLA-DRA
Q68DU8,ENSG00000183775,KCTD16
Q15650,ENSG00000103671,TRIP4
P40925,ENSG00000014641,MDH1
O95500,ENSG00000159261,CLDN14
Q6XPR3,ENSG00000215853,RPTN
Q53H12,ENSG00000262327,AGK
Q8IZP1,ENSG00000274611,TBC1D3
Q15173,ENSG00000068971,PPP2R5B
Q2M3D2,ENSG00000130201,EXOC3L2
P62805,ENSG00000197061,HIST1H4C
Q9H6X4,ENSG00000172663,TMEM134
P14555,ENSG00000188257,PLA2G2A
P41180,ENSG00000283187,CASR
Q9P0W5,ENSG00000283245,SCHIP1
Q9UBB9,ENSG00000100109,TFIP11
Q9Y5L0,ENSG00000064419,TNPO3
Q96AP7,ENSG00000149564,ESAM
Q08J23,ENSG00000037474,NSUN2
Q9BSG1,ENSG00000275111,ZNF2
P08670,ENSG00000026025,VIM
Q8TF62,ENSG00000104043,ATP8B4
A0A096LP49,ENSG00000260220,CCDC187
Q9BSV6,ENSG00000274672,TSEN34
Q6ZS81,ENSG00000283652,WDFY4
Q9Y5G0,ENSG00000276547,PCDHGB5
Q8N8A8,ENSG00000185087,FAM169B
Q9P1A6,ENSG00000283494,DLGAP2
O15541,ENSG00000125352,RNF113A
Q9NZU0,ENSG00000125848,FLRT3
Q9HCM9,ENSG00000224994,TRIM39
Q9BWT3,ENSG00000115421,PAPOLG
Q9UN37,ENSG00000132612,VPS4A
P51878,ENSG00000137757,CASP5
Q9NPD5,ENSG00000111700,SLCO1B3
Q969V6,ENSG00000196588,MKL1
Q9NS62,ENSG00000136114,THSD1
Q14872,ENSG00000188786,MTF1
Q495T6,ENSG00000277131,MMEL1
Q8TDX7,ENSG00000151414,NEK7
Q9NVU7,ENSG00000198301,SDAD1
Q96BW9,ENSG00000144559,TAMM41
P51843,ENSG00000169297,NR0B1
Q92759,ENSG00000226384,GTF2H4
Q8IZ41,ENSG00000165105,RASEF
P55060,ENSG00000124207,CSE1L
Q8WZ42,ENSG00000283186,AC010680.1
Q9UJW2,ENSG00000137251,TINAG
P23141,ENSG00000198848,CES1
Q9NX02,ENSG00000278682,NLRP2
A4GXA9,ENSG00000197774,EME2
Q7Z5A7,ENSG00000219438,FAM19A5
O15226,ENSG00000186416,NKRF
Q5VY43,ENSG00000187800,PEAR1
Q8NBP5,ENSG00000135953,MFSD9
Q9UER7,ENSG00000231617,DAXX
A6NM45,ENSG00000185758,CLDN24
Q9NYW2,ENSG00000277316,TAS2R8
P0DMB1,ENSG00000255378,PRR23D2
Q92620,ENSG00000140829,DHX38
Q9BTZ2,ENSG00000157326,DHRS4
P78537,ENSG00000135441,BLOC1S1
O15160,ENSG00000171453,POLR1C
Q9H3Q3,ENSG00000154252,GAL3ST2
P61769,ENSG00000273686,B2M
O95411,ENSG00000221995,TIAF1
Q96MI9,ENSG00000166748,AGBL1
Q96T59,ENSG00000223510,CDRT15
Q96PN6,ENSG00000143199,ADCY10
O95995,ENSG00000283182,AC133919.1
Q6NXP2,ENSG00000205085,FAM71F2
P32455,ENSG00000117228,GBP1
Q9UHB4,ENSG00000283590,NDOR1
Q9H2X6,ENSG00000064393,HIPK2
Q15819,ENSG00000169139,UBE2V2
Q8N328,ENSG00000243251,PGBD3
Q8N8R7,ENSG00000152219,ARL14EP
Q92747,ENSG00000241685,ARPC1A
O15213,ENSG00000206284,WDR46
Q7Z591,ENSG00000106948,AKNA
P48551,ENSG00000159110,IFNAR2
Q8TBP6,ENSG00000075303,SLC25A40
Q13490,ENSG00000110330,BIRC2
P09131,ENSG00000126903,SLC10A3
Q8IYJ1,ENSG00000144550,CPNE9
P0CG30,ENSG00000278695,GSTT2B
Q8N131,ENSG00000152558,TMEM123
Q13685,ENSG00000127837,AAMP
A1L157,ENSG00000110900,TSPAN11
O14771,ENSG00000085644,ZNF213
Q9ULM0,ENSG00000054690,PLEKHH1
Q9BQR3,ENSG00000172382,PRSS27
Q08334,ENSG00000243646,IL10RB
Q0VF49,ENSG00000283310,KIAA2012
Q9BSV6,ENSG00000274078,TSEN34
P09488,ENSG00000134184,GSTM1
Q8N987,ENSG00000123119,NECAB1
Q01740,ENSG00000010932,FMO1
P21757,ENSG00000038945,MSR1
P10828,ENSG00000151090,THRB
Q6IPW1,ENSG00000282682,C11orf71
Q86UR1,ENSG00000188747,NOXA1
Q9BXL8,ENSG00000170779,CDCA4
Q96GA3,ENSG00000135521,LTV1
Q9UJV9,ENSG00000183258,DDX41
Q8NGQ6,ENSG00000172377,OR9I1
P62491,ENSG00000103769,RAB11A
Q9NRJ4,ENSG00000130338,TULP4
Q96N66,ENSG00000277923,MBOAT7
P14678,ENSG00000125835,SNRPB
Q9Y6X4,ENSG00000198780,FAM169A
Q96S06,ENSG00000103227,LMF1
Q9BZM4,ENSG00000131019,ULBP3
O95471,ENSG00000181885,CLDN7
P20155,ENSG00000128040,SPINK2
Q01718,ENSG00000185231,MC2R
P22314,ENSG00000130985,UBA1
Q9H8X2,ENSG00000127080,IPPK
P30837,ENSG00000137124,ALDH1B1
Q5SRH9,ENSG00000085831,TTC39A
Q6ZWI9,ENSG00000251258,RFPL4B
Q5GLZ8,ENSG00000148634,HERC4
P35680,ENSG00000275410,HNF1B
P62942,ENSG00000088832,FKBP1A
Q9NVR2,ENSG00000104613,INTS10
Q147U1,ENSG00000196605,ZNF846
Q6UX27,ENSG00000274953,VSTM1
Q9Y6X8,ENSG00000178764,ZHX2
P20138,ENSG00000105383,CD33
P23246,ENSG00000116560,SFPQ
Q9NUK0,ENSG00000076770,MBNL3
P56645,ENSG00000049246,PER3
Q86X40,ENSG00000168904,LRRC28
Q8N0Y3,ENSG00000183706,OR4N4
P01266,ENSG00000042832,TG
Q6UWE0,ENSG00000148356,LRSAM1
Q6UWY0,ENSG00000164291,ARSK
Q8TDX5,ENSG00000153086,ACMSD
Q16663,ENSG00000275718,CCL15
Q494U1,ENSG00000187583,PLEKHN1
Q99456,ENSG00000263243,KRT12
P82914,ENSG00000116898,MRPS15
Q9UBY0,ENSG00000115616,SLC9A2
Q9H255,ENSG00000167332,OR51E2
Q7Z2Q7,ENSG00000186105,LRRC70
Q9BSV6,ENSG00000274129,TSEN34
Q8NGL1,ENSG00000186119,OR5D18
A6NIZ1,ENSG00000254893,AC113404.1
