uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_description,tags_reason,pfam
O00300,TR11B_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00531;PF00020;
O00322,UPK1A_HUMAN,True,False,False,,False,False,,False,False,,To_add,complex,,
O00337,S28A1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00339,MATN2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00391,QSOX1_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00398,P2Y10_HUMAN,True,False,False,,False,True,,False,False,,,,,
O00408,PDE2A_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O00421,CCRL2_HUMAN,True,False,False,,False,True,Atipical_chemokine_receptor_add,False,False,,,,,PF00001;
O00443,P3C2A_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O00451,GFRA2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF02351;
O00468,AGRIN_HUMAN,True,False,True,,False,False,,False,False,,,,,
O00476,NPT4_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00478,BT3A3_HUMAN,True,False,False,,False,False,,False,False,,,Possible_receptor,,
O00481,BT3A1_HUMAN,True,False,False,,False,False,,False,False,,,Possible_receptor,,
O00501,CLD5_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Claudins,Adhesion_add,
O00515,LAD1_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00522,KRIT1_HUMAN,False,True,False,,False,False,,False,False,,,,,
O00526,UPK2_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00533,NCHL1_HUMAN,True,False,True,,False,False,,False,False,,,,,
O00548,DLL1_HUMAN,True,False,False,,False,False,,False,False,,,,,PF01414;PF00008;PF12661;PF07657;
O00560,SDCB1_HUMAN,False,True,True,,False,False,,False,False,,,,,
O00574,CXCR6_HUMAN,True,False,False,,False,True,Chemokine_receptor CXCR_add,False,False,,,,,PF00001;
O00584,RNT2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00585,CCL21_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;
O00590,ACKR2_HUMAN,True,False,False,,False,True,Atipical_chemokine_receptor_add,False,False,,,,,PF00001;
O00591,GBRP_HUMAN,True,False,False,,False,False,,False,False,,,,,
O00592,PODXL_HUMAN,True,False,False,,False,False,,False,False,,,Migration,,PF06365;
O00602,FCN1_HUMAN,False,True,True,,False,False,,False,False,,,,,
O00622,CYR61_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00626,CCL22_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;
O00634,NET3_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00744,WN10B_HUMAN,False,False,True,,False,False,,False,False,,,,,
O00750,P3C2B_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O00755,WNT7A_HUMAN,False,False,True,CellSignal_WNT,True,False,,False,False,,,,,PF00110;
O14490,DLGP1_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14492,SH2B2_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
O14493,CLD4_HUMAN,True,False,False,,False,False,,False,False,,To_comment,Claudins,Adhesion_add,
O14494,LPP1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14495,LPP3_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14498,ISLR_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14511,NRG2_HUMAN,True,False,True,Growthfactor,True,False,,False,False,,,,,PF07679;PF02158;
O14512,SOCS7_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14514,BAI1_HUMAN,True,False,False,,False,True,,False,False,,,,,
O14522,PTPRT_HUMAN,True,False,False,,False,True,,False,False,,To_add,Iglike,,
O14525,ASTN1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14581,OR7AH_HUMAN,True,False,False,,False,False,,False,True,Olfactory receptor,,Olfactory receptor,,
O14594,NCAN_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14610,GBGT2_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O14625,CXL11_HUMAN,False,False,True,Cytokine,True,False,,False,False,,,,,PF00048;
O14626,GP171_HUMAN,True,False,False,,False,True,,False,False,,,,,
O14638,ENPP3_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14640,DVL1_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14641,DVL2_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14649,KCNK3_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14654,IRS4_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14672,ADA10_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14713,ITBP1_HUMAN,True,False,False,,False,False,,False,False,,,Migration,,
O14735,CDIPT_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14745,NHRF1_HUMAN,False,True,False,,False,False,,False,False,,To_add,complex,,
O14763,TR10B_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,TNF_receptor_add (uniprot),,PF00531;PF00020;
O14764,GBRD_HUMAN,True,False,False,,False,False,,False,False,,,,,
O14786,NRP1_HUMAN,True,False,True,Growthfactor,True,True,,False,False,,,,,PF00431;PF11980;PF00754;PF00629;
O14788,TNF11_HUMAN,True,False,True,Cytokine,True,True,,False,False,,,,,PF00229;
O14791,APOL1_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14793,GDF8_HUMAN,False,False,True,Growthfactor | Cytokine,True,False,,False,False,,,,,PF00019;PF00688;
O14795,UN13B_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14798,TR10C_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,,,,PF00020;
O14804,TAAR5_HUMAN,True,False,False,,False,True,,False,False,,,,,
O14807,RASM_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O14827,RGRF2_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14836,TR13B_HUMAN,True,False,False,,False,True,TNF_receptor_add,False,False,,To_add,TNF_family (uniprot),,PF09305;
O14842,FFAR1_HUMAN,True,False,False,,False,True,,False,False,,,,,
O14843,FFAR3_HUMAN,True,False,False,,False,True,,False,False,,,,,
O14904,WNT9A_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14905,WNT9B_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14907,TX1B3_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14910,LIN7A_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14917,PCD17_HUMAN,True,False,False,,False,False,,False,False,,,Protocadherin,,
O14931,NCTR3_HUMAN,True,False,False,,False,True,,False,False,,To_comment,,Extracellular_add,PF07686;
O14936,CSKP_HUMAN,False,True,False,,False,False,,False,False,,,,,
O14939,PLD2_HUMAN,,,,,,,,,,,,,,PF00614;PF13091;PF00787;
O14944,EREG_HUMAN,True,False,True,Growthfactor,True,False,,False,False,,,,,
O14960,LECT2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O14966,RAB7L_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O15018,PDZD2_HUMAN,False,False,True,,False,False,,False,False,,,,,
O15031,PLXB2_HUMAN,True,False,False,,False,True,,False,False,,,,,PF08337;PF01437;PF01403;PF01833;PF17960;
O15034,RIMB2_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15041,SEM3E_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00047;PF01403;
O15056,SYNJ2_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15068,MCF2L_HUMAN,False,True,False,,False,False,,False,False,,,,,
O15072,ATS3_HUMAN,False,False,True,,False,False,,False,False,,,disintegrin and metalloproteinase,,
O15123,ANGP2_HUMAN,False,False,True,,False,False,,False,False,,,,,PF00147;
O15130,NPFF_HUMAN,False,False,True,,False,False,,False,False,,,,,
O15146,MUSK_HUMAN,True,False,False,,False,True,,False,False,,,,,
O15162,PLS1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15169,AXIN1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15173,PGRC2_HUMAN,True,False,False,,False,True,,False,False,,To_add,progesterone receptor (uniprot),,PF00173;
O15197,EPHB6_HUMAN,True,False,True,,False,True,,False,True,,To_remove,no ensembl,,PF14575;PF01404;PF07699;PF00041;PF07714;PF07647;
O15204,ADEC1_HUMAN,False,False,True,,False,False,,False,False,,,disintegrin and metalloproteinase,,
O15218,GP182_HUMAN,True,False,False,,False,True,,False,False,,,,,
O15230,LAMA5_HUMAN,False,False,True,,False,False,,False,False,,,laminin,,
O15232,MATN3_HUMAN,False,False,True,,False,False,,False,False,,,,,
O15240,VGF_HUMAN,False,False,True,Growthfactor,True,False,,False,False,,,,,
O15243,OBRG_HUMAN,True,False,False,,False,True,,False,False,,To_add | To_comment,Negatively regulates leptin receptor (LEPR) cell surface expressio | Receptor_add (uniprot),Receptor_add,
O15245,S22A1_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15255,CXX1_HUMAN,True,False,False,,False,False,,False,False,,To_remove,no ensembl,,
O15263,DFB4A_HUMAN,False,False,True,,False,False,,False,False,,,,,
O15294,OGT1_HUMAN,False,True,False,,False,False,,False,False,,To_comment,,Peripheral_add,
O15296,LX15B_HUMAN,False,True,False,,False,False,,False,False,,,,,
O15303,GRM6_HUMAN,True,False,False,,False,True,,False,False,,,,,
O15335,CHAD_HUMAN,False,False,True,,False,False,,False,False,,,,,
O15354,GPR37_HUMAN,True,False,False,,False,True,,False,False,,,,,PF00001;
O15374,MOT5_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15375,MOT6_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15389,SIGL5_HUMAN,True,False,False,,False,False,,False,True,Sialic acid-binding Ig-like,To_add,Iglike,,
O15393,TMPS2_HUMAN,True,False,True,,False,False,,False,False,,,,,
O15394,NCAM2_HUMAN,True,False,False,,False,False,,False,False,,,,,
O15399,NMDE4_HUMAN,True,False,False,,False,True,,False,False,,,,,PF01094;PF00060;PF10613;
